name_admin_unit,part_of_district,admin_unit,disab_func_lim,all_sexes_overall,male_overall,female_overall,all_sexes_rural,male_rural,female_rural,all_sexes_urban,male_urban,female_urban
AWARAN,AWARAN,DISTRICT,Population,178958,91640,87318,132122,67528,64594,46836,24112,22724
AWARAN,AWARAN,DISTRICT,Disability,5805,2444,3361,4723,2050,2673,1082,394,688
AWARAN,AWARAN,DISTRICT,Functional limitation,6964,3168,3796,5440,2513,2927,1524,655,869
AWARAN,AWARAN,DISTRICT,Seeing,1406,717,689,1076,544,532,330,173,157
AWARAN,AWARAN,DISTRICT,Hearing,1013,486,527,801,382,419,212,104,108
AWARAN,AWARAN,DISTRICT,Walking/ Climbing,2830,1301,1529,2091,970,1121,739,331,408
AWARAN,AWARAN,DISTRICT,Communication,1054,488,566,866,407,459,188,81,107
AWARAN,AWARAN,DISTRICT,Memorization/ Focus,1144,550,594,910,438,472,234,112,122
AWARAN,AWARAN,DISTRICT,Self care etc,861,361,500,699,304,395,162,57,105
BARKHAN,BARKHAN,DISTRICT,Population,210249,109632,100617,195824,102233,93591,14425,7399,7026
BARKHAN,BARKHAN,DISTRICT,Disability,4442,2823,1619,4144,2607,1537,298,216,82
BARKHAN,BARKHAN,DISTRICT,Functional limitation,20723,11572,9151,19110,10652,8458,1613,920,693
BARKHAN,BARKHAN,DISTRICT,Seeing,5586,2947,2639,5199,2745,2454,387,202,185
BARKHAN,BARKHAN,DISTRICT,Hearing,5570,2983,2587,5165,2778,2387,405,205,200
BARKHAN,BARKHAN,DISTRICT,Walking/ Climbing,7197,3952,3245,6675,3668,3007,522,284,238
BARKHAN,BARKHAN,DISTRICT,Communication,2508,1407,1101,2312,1306,1006,196,101,95
BARKHAN,BARKHAN,DISTRICT,Memorization/ Focus,3479,1895,1584,3189,1736,1453,290,159,131
BARKHAN,BARKHAN,DISTRICT,Self care etc,1852,1092,760,1678,983,695,174,109,65
CHAGAI,CHAGAI,DISTRICT,Population,268611,139647,128964,248652,129435,119217,19959,10212,9747
CHAGAI,CHAGAI,DISTRICT,Disability,4460,2157,2303,4214,2058,2156,246,99,147
CHAGAI,CHAGAI,DISTRICT,Functional limitation,18272,9473,8799,16806,8742,8064,1466,731,735
CHAGAI,CHAGAI,DISTRICT,Seeing,3929,2099,1830,3559,1905,1654,370,194,176
CHAGAI,CHAGAI,DISTRICT,Hearing,4197,2242,1955,3808,2036,1772,389,206,183
CHAGAI,CHAGAI,DISTRICT,Walking/ Climbing,5861,3068,2793,5329,2796,2533,532,272,260
CHAGAI,CHAGAI,DISTRICT,Communication,2029,1093,936,1815,985,830,214,108,106
CHAGAI,CHAGAI,DISTRICT,Memorization/ Focus,2820,1486,1334,2539,1340,1199,281,146,135
CHAGAI,CHAGAI,DISTRICT,Self care etc,1976,999,977,1832,928,904,144,71,73
CHAMAN,CHAMAN,DISTRICT,Population,466218,261207,205011,336079,189678,146401,130139,71529,58610
CHAMAN,CHAMAN,DISTRICT,Disability,9223,4966,4257,4976,2666,2310,4247,2300,1947
CHAMAN,CHAMAN,DISTRICT,Functional limitation,23879,13237,10642,15094,8369,6725,8785,4868,3917
CHAMAN,CHAMAN,DISTRICT,Seeing,4015,2238,1777,2528,1417,1111,1487,821,666
CHAMAN,CHAMAN,DISTRICT,Hearing,4389,2503,1886,2774,1592,1182,1615,911,704
CHAMAN,CHAMAN,DISTRICT,Walking/ Climbing,7671,4218,3453,5058,2777,2281,2613,1441,1172
CHAMAN,CHAMAN,DISTRICT,Communication,2198,1245,953,1263,722,541,935,523,412
CHAMAN,CHAMAN,DISTRICT,Memorization/ Focus,3277,1837,1440,2039,1144,895,1238,693,545
CHAMAN,CHAMAN,DISTRICT,Self care etc,2995,1653,1342,1855,1019,836,1140,634,506
DERA BUGTI,DERA BUGTI,DISTRICT,Population,355274,194592,160682,246827,137662,109165,108447,56930,51517
DERA BUGTI,DERA BUGTI,DISTRICT,Disability,1793,875,918,1306,553,753,487,322,165
DERA BUGTI,DERA BUGTI,DISTRICT,Functional limitation,5015,3268,1747,3367,2156,1211,1648,1112,536
DERA BUGTI,DERA BUGTI,DISTRICT,Seeing,1346,861,485,914,580,334,432,281,151
DERA BUGTI,DERA BUGTI,DISTRICT,Hearing,1200,812,388,749,508,241,451,304,147
DERA BUGTI,DERA BUGTI,DISTRICT,Walking/ Climbing,2052,1291,761,1325,814,511,727,477,250
DERA BUGTI,DERA BUGTI,DISTRICT,Communication,725,459,266,424,242,182,301,217,84
DERA BUGTI,DERA BUGTI,DISTRICT,Memorization/ Focus,898,594,304,550,364,186,348,230,118
DERA BUGTI,DERA BUGTI,DISTRICT,Self care etc,379,234,145,268,158,110,111,76,35
DUKI,DUKI,DISTRICT,Population,205044,107269,97775,195261,101985,93276,9783,5284,4499
DUKI,DUKI,DISTRICT,Disability,1284,900,384,1274,894,380,10,6,4
DUKI,DUKI,DISTRICT,Functional limitation,10095,5462,4633,9528,5156,4372,567,306,261
DUKI,DUKI,DISTRICT,Seeing,2312,1263,1049,2202,1203,999,110,60,50
DUKI,DUKI,DISTRICT,Hearing,2332,1265,1067,2202,1196,1006,130,69,61
DUKI,DUKI,DISTRICT,Walking/ Climbing,3084,1693,1391,2922,1600,1322,162,93,69
DUKI,DUKI,DISTRICT,Communication,887,513,374,843,487,356,44,26,18
DUKI,DUKI,DISTRICT,Memorization/ Focus,1396,767,629,1316,724,592,80,43,37
DUKI,DUKI,DISTRICT,Self care etc,977,529,448,917,499,418,60,30,30
GWADAR,GWADAR,DISTRICT,Population,302831,159657,143174,146125,76486,69639,156706,83171,73535
GWADAR,GWADAR,DISTRICT,Disability,9301,3820,5481,5184,2216,2968,4117,1604,2513
GWADAR,GWADAR,DISTRICT,Functional limitation,27065,13654,13411,13097,6513,6584,13968,7141,6827
GWADAR,GWADAR,DISTRICT,Seeing,5129,2677,2452,2645,1357,1288,2484,1320,1164
GWADAR,GWADAR,DISTRICT,Hearing,5540,2954,2586,2689,1397,1292,2851,1557,1294
GWADAR,GWADAR,DISTRICT,Walking/ Climbing,8714,4296,4418,4331,2099,2232,4383,2197,2186
GWADAR,GWADAR,DISTRICT,Communication,2668,1347,1321,1348,685,663,1320,662,658
GWADAR,GWADAR,DISTRICT,Memorization/ Focus,3876,2002,1874,1928,977,951,1948,1025,923
GWADAR,GWADAR,DISTRICT,Self care etc,3190,1551,1639,1564,757,807,1626,794,832
HARNAI,HARNAI,DISTRICT,Population,127571,67366,60205,94138,48657,45481,33433,18709,14724
HARNAI,HARNAI,DISTRICT,Disability,3165,1758,1407,2629,1429,1200,536,329,207
HARNAI,HARNAI,DISTRICT,Functional limitation,10248,5834,4414,7805,4384,3421,2443,1450,993
HARNAI,HARNAI,DISTRICT,Seeing,1978,1129,849,1486,835,651,492,294,198
HARNAI,HARNAI,DISTRICT,Hearing,2115,1214,901,1576,888,688,539,326,213
HARNAI,HARNAI,DISTRICT,Walking/ Climbing,3374,1900,1474,2516,1400,1116,858,500,358
HARNAI,HARNAI,DISTRICT,Communication,1047,597,450,783,430,353,264,167,97
HARNAI,HARNAI,DISTRICT,Memorization/ Focus,1508,863,645,1143,645,498,365,218,147
HARNAI,HARNAI,DISTRICT,Self care etc,1132,639,493,881,488,393,251,151,100
JAFFARABAD,JAFFARABAD,DISTRICT,Population,594558,301381,293177,431165,218422,212743,163393,82959,80434
JAFFARABAD,JAFFARABAD,DISTRICT,Disability,10884,5632,5252,9091,4694,4397,1793,938,855
JAFFARABAD,JAFFARABAD,DISTRICT,Functional limitation,26715,13148,13567,20487,10153,10334,6228,2995,3233
JAFFARABAD,JAFFARABAD,DISTRICT,Seeing,4967,2439,2528,3732,1832,1900,1235,607,628
JAFFARABAD,JAFFARABAD,DISTRICT,Hearing,5024,2459,2565,3778,1862,1916,1246,597,649
JAFFARABAD,JAFFARABAD,DISTRICT,Walking/ Climbing,9542,4819,4723,7087,3594,3493,2455,1225,1230
JAFFARABAD,JAFFARABAD,DISTRICT,Communication,3009,1556,1453,2335,1209,1126,674,347,327
JAFFARABAD,JAFFARABAD,DISTRICT,Memorization/ Focus,3902,1961,1941,2977,1507,1470,925,454,471
JAFFARABAD,JAFFARABAD,DISTRICT,Self care etc,2856,1374,1482,2277,1108,1169,579,266,313
JHAL MAGSI,JHAL MAGSI,DISTRICT,Population,203368,103435,99933,179238,91923,87315,24130,11512,12618
JHAL MAGSI,JHAL MAGSI,DISTRICT,Disability,4834,2324,2510,4225,1999,2226,609,325,284
JHAL MAGSI,JHAL MAGSI,DISTRICT,Functional limitation,10126,5046,5080,8679,4297,4382,1447,749,698
JHAL MAGSI,JHAL MAGSI,DISTRICT,Seeing,1888,985,903,1648,853,795,240,132,108
JHAL MAGSI,JHAL MAGSI,DISTRICT,Hearing,1815,936,879,1545,786,759,270,150,120
JHAL MAGSI,JHAL MAGSI,DISTRICT,Walking/ Climbing,3717,1858,1859,3231,1612,1619,486,246,240
JHAL MAGSI,JHAL MAGSI,DISTRICT,Communication,1200,634,566,1008,508,500,192,126,66
JHAL MAGSI,JHAL MAGSI,DISTRICT,Memorization/ Focus,1479,738,741,1256,629,627,223,109,114
JHAL MAGSI,JHAL MAGSI,DISTRICT,Self care etc,1144,542,602,981,468,513,163,74,89
KACHHI,KACHHI,DISTRICT,Population,442674,233618,209056,362222,192363,169859,80452,41255,39197
KACHHI,KACHHI,DISTRICT,Disability,9639,5181,4458,8416,4501,3915,1223,680,543
KACHHI,KACHHI,DISTRICT,Functional limitation,21315,11547,9768,17914,9670,8244,3401,1877,1524
KACHHI,KACHHI,DISTRICT,Seeing,3922,2150,1772,3264,1777,1487,658,373,285
KACHHI,KACHHI,DISTRICT,Hearing,3920,2153,1767,3312,1808,1504,608,345,263
KACHHI,KACHHI,DISTRICT,Walking/ Climbing,7403,4041,3362,6111,3331,2780,1292,710,582
KACHHI,KACHHI,DISTRICT,Communication,2177,1192,985,1826,1005,821,351,187,164
KACHHI,KACHHI,DISTRICT,Memorization/ Focus,3002,1655,1347,2524,1376,1148,478,279,199
KACHHI,KACHHI,DISTRICT,Self care etc,2588,1394,1194,2223,1187,1036,365,207,158
KALAT,KALAT,DISTRICT,Population,271560,138618,132942,227120,115652,111468,44440,22966,21474
KALAT,KALAT,DISTRICT,Disability,5796,2864,2932,5127,2558,2569,669,306,363
KALAT,KALAT,DISTRICT,Functional limitation,17735,8875,8860,14592,7346,7246,3143,1529,1614
KALAT,KALAT,DISTRICT,Seeing,3379,1723,1656,2829,1451,1378,550,272,278
KALAT,KALAT,DISTRICT,Hearing,3503,1767,1736,2856,1446,1410,647,321,326
KALAT,KALAT,DISTRICT,Walking/ Climbing,5876,2992,2884,4866,2484,2382,1010,508,502
KALAT,KALAT,DISTRICT,Communication,1688,876,812,1395,737,658,293,139,154
KALAT,KALAT,DISTRICT,Memorization/ Focus,2456,1245,1211,2012,1031,981,444,214,230
KALAT,KALAT,DISTRICT,Self care etc,1967,942,1025,1620,780,840,347,162,185
KECH,KECH,DISTRICT,Population,1060814,555286,505528,674168,349797,324371,386646,205489,181157
KECH,KECH,DISTRICT,Disability,21401,10808,10593,14145,7027,7118,7256,3781,3475
KECH,KECH,DISTRICT,Functional limitation,73350,36921,36429,47804,23506,24298,25546,13415,12131
KECH,KECH,DISTRICT,Seeing,14750,7674,7076,10029,5141,4888,4721,2533,2188
KECH,KECH,DISTRICT,Hearing,15561,7948,7613,10375,5204,5171,5186,2744,2442
KECH,KECH,DISTRICT,Walking/ Climbing,22922,11650,11272,14768,7363,7405,8154,4287,3867
KECH,KECH,DISTRICT,Communication,7079,3674,3405,4694,2391,2303,2385,1283,1102
KECH,KECH,DISTRICT,Memorization/ Focus,10281,5232,5049,6752,3376,3376,3529,1856,1673
KECH,KECH,DISTRICT,Self care etc,8400,4127,4273,5390,2548,2842,3010,1579,1431
KHARAN,KHARAN,DISTRICT,Population,260352,139706,120646,179546,95348,84198,80806,44358,36448
KHARAN,KHARAN,DISTRICT,Disability,2884,1998,886,2374,1586,788,510,412,98
KHARAN,KHARAN,DISTRICT,Functional limitation,12700,7010,5690,8600,4691,3909,4100,2319,1781
KHARAN,KHARAN,DISTRICT,Seeing,2652,1425,1227,1789,951,838,863,474,389
KHARAN,KHARAN,DISTRICT,Hearing,2846,1518,1328,1871,989,882,975,529,446
KHARAN,KHARAN,DISTRICT,Walking/ Climbing,3969,2220,1749,2724,1499,1225,1245,721,524
KHARAN,KHARAN,DISTRICT,Communication,1270,750,520,881,525,356,389,225,164
KHARAN,KHARAN,DISTRICT,Memorization/ Focus,1827,1020,807,1236,687,549,591,333,258
KHARAN,KHARAN,DISTRICT,Self care etc,1337,753,584,892,496,396,445,257,188
KHUZDAR,KHUZDAR,DISTRICT,Population,997214,537347,459867,632836,341209,291627,364378,196138,168240
KHUZDAR,KHUZDAR,DISTRICT,Disability,32006,18777,13229,21329,12401,8928,10677,6376,4301
KHUZDAR,KHUZDAR,DISTRICT,Functional limitation,50391,26380,24011,31827,16627,15200,18564,9753,8811
KHUZDAR,KHUZDAR,DISTRICT,Seeing,8925,4592,4333,5802,2982,2820,3123,1610,1513
KHUZDAR,KHUZDAR,DISTRICT,Hearing,8177,4114,4063,5161,2565,2596,3016,1549,1467
KHUZDAR,KHUZDAR,DISTRICT,Walking/ Climbing,18879,10115,8764,11922,6369,5553,6957,3746,3211
KHUZDAR,KHUZDAR,DISTRICT,Communication,5866,3330,2536,3873,2184,1689,1993,1146,847
KHUZDAR,KHUZDAR,DISTRICT,Memorization/ Focus,7286,3873,3413,4658,2453,2205,2628,1420,1208
KHUZDAR,KHUZDAR,DISTRICT,Self care etc,6410,3440,2970,3925,2120,1805,2485,1320,1165
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Population,361971,189188,172783,326587,169461,157126,35384,19727,15657
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Disability,5996,3451,2545,5610,3238,2372,386,213,173
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Functional limitation,17921,9754,8167,16293,8889,7404,1628,865,763
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Seeing,3262,1808,1454,2958,1643,1315,304,165,139
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Hearing,3612,1970,1642,3280,1794,1486,332,176,156
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Walking/ Climbing,5757,3170,2587,5228,2888,2340,529,282,247
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Communication,1771,1042,729,1616,960,656,155,82,73
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Memorization/ Focus,2581,1433,1148,2336,1305,1031,245,128,117
KILLA ABDULLAH,KILLA ABDULLAH,DISTRICT,Self care etc,2149,1164,985,1962,1065,897,187,99,88
KILLA SAIFULLAH,KILLA SAIFULLAH,DISTRICT,Population,380200,199075,181125,316025,166448,149577,64175,32627,31548
KILLA SAIFULLAH,KILLA SAIFULLAH,DISTRICT,Disability,7956,4179,3777,7074,3748,3326,882,431,451
KILLA SAIFULLAH,KILLA SAIFULLAH,DISTRICT,Functional limitation,20098,10166,9932,17051,8682,8369,3047,1484,1563
KILLA SAIFULLAH,KILLA SAIFULLAH,DISTRICT,Seeing,3881,2012,1869,3290,1718,1572,591,294,297
KILLA SAIFULLAH,KILLA SAIFULLAH,DISTRICT,Hearing,3866,1953,1913,3229,1647,1582,637,306,331
KILLA SAIFULLAH,KILLA SAIFULLAH,DISTRICT,Walking/ Climbing,6669,3455,3214,5601,2905,2696,1068,550,518
