name_admin_unit,part_of_district,admin_unit,region,households,res_st_owned,res_st_rented,res_st_rent_free,res_st_govt,res_st_non_govt,res_st_other,owner_gender_male,owner_gender_female,no_rooms_one,no_rooms_two,no_rooms_three,no_rooms_grtreq_four
ABBOTTABAD,ABBOTTABAD,DISTRICT,OVERALL,236789,198541,27632,6011,3976,113,516,219545,12639,39442,86896,59894,50557
ABBOTTABAD,ABBOTTABAD,DISTRICT,RURAL,183532,167691,10229,4802,328,72,410,172463,10259,34671,70879,42778,35204
ABBOTTABAD,ABBOTTABAD,DISTRICT,URBAN,53257,30850,17403,1209,3648,41,106,47082,2380,4771,16017,17116,15353
BAJAUR,BAJAUR,DISTRICT,OVERALL,181699,158020,5643,16093,174,29,1740,175503,4253,75768,52925,26331,26675
BAJAUR,BAJAUR,DISTRICT,RURAL,181699,158020,5643,16093,174,29,1740,175503,4253,75768,52925,26331,26675
BAJAUR,BAJAUR,DISTRICT,URBAN,,,,,,,,,,,,,
BANNU,BANNU,DISTRICT,OVERALL,183130,156422,14792,7656,1466,119,2675,173178,5692,56232,54610,32628,39660
BANNU,BANNU,DISTRICT,RURAL,176054,152561,12610,7577,537,113,2656,167335,5413,55451,52451,31185,36967
BANNU,BANNU,DISTRICT,URBAN,7076,3861,2182,79,929,6,19,5843,279,781,2159,1443,2693
BATAGRAM,BATAGRAM,DISTRICT,OVERALL,86196,68638,3645,12555,42,17,1299,80776,4062,29666,31982,13397,11151
BATAGRAM,BATAGRAM,DISTRICT,RURAL,86196,68638,3645,12555,42,17,1299,80776,4062,29666,31982,13397,11151
BATAGRAM,BATAGRAM,DISTRICT,URBAN,,,,,,,,,,,,,
BUNER,BUNER,DISTRICT,OVERALL,118665,89658,11269,16190,85,23,1440,113397,3720,29933,36982,21946,29804
BUNER,BUNER,DISTRICT,RURAL,118665,89658,11269,16190,85,23,1440,113397,3720,29933,36982,21946,29804
BUNER,BUNER,DISTRICT,URBAN,,,,,,,,,,,,,
CHARSADDA,CHARSADDA,DISTRICT,OVERALL,263934,230786,18461,13117,342,65,1163,255609,6755,74599,89053,51396,48886
CHARSADDA,CHARSADDA,DISTRICT,RURAL,219425,192395,13427,12437,213,52,901,213004,5255,63065,73582,42320,40458
CHARSADDA,CHARSADDA,DISTRICT,URBAN,44509,38391,5034,680,129,13,262,42605,1500,11534,15471,9076,8428
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,OVERALL,270021,242541,16575,7694,1551,126,1534,259134,7676,107169,90115,39486,33251
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,RURAL,210230,191923,9806,6458,607,89,1347,203364,4823,88680,68518,29150,23882
DERA ISMAIL KHAN,DERA ISMAIL KHAN,DISTRICT,URBAN,59791,50618,6769,1236,944,37,187,55770,2853,18489,21597,10336,9369
HANGU,HANGU,DISTRICT,OVERALL,61148,48782,8128,3576,448,27,187,57917,2569,10735,16539,13245,20629
HANGU,HANGU,DISTRICT,RURAL,50414,41733,5015,3151,329,24,162,47632,2267,9239,13585,10809,16781
HANGU,HANGU,DISTRICT,URBAN,10734,7049,3113,425,119,3,25,10285,302,1496,2954,2436,3848
HARIPUR,HARIPUR,DISTRICT,OVERALL,192451,161744,18862,5462,4326,483,1574,177447,8621,26736,67354,48271,50090
HARIPUR,HARIPUR,DISTRICT,RURAL,167945,144688,12663,5059,3590,419,1526,155156,7254,24364,59914,41495,42172
HARIPUR,HARIPUR,DISTRICT,URBAN,24506,17056,6199,403,736,64,48,22291,1367,2372,7440,6776,7918
KARAK,KARAK,DISTRICT,OVERALL,95997,91084,3154,1133,123,19,484,91989,3382,19805,27038,21845,27309
KARAK,KARAK,DISTRICT,RURAL,88061,84583,1896,1102,29,17,434,84458,3123,19032,25035,19609,24385
KARAK,KARAK,DISTRICT,URBAN,7936,6501,1258,31,94,2,50,7531,259,773,2003,2236,2924
KHYBER,KHYBER,DISTRICT,OVERALL,166805,148637,9732,7611,468,36,321,162708,3272,78923,46045,21457,20380
KHYBER,KHYBER,DISTRICT,RURAL,152977,137787,7429,7244,178,31,308,149373,3087,73015,41845,19613,18504
KHYBER,KHYBER,DISTRICT,URBAN,13828,10850,2303,367,290,5,13,13335,185,5908,4200,1844,1876
KOHAT,KOHAT,DISTRICT,OVERALL,169679,138621,20670,6501,2998,49,840,159128,6664,37682,55181,37553,39263
KOHAT,KOHAT,DISTRICT,RURAL,127770,113947,8278,4858,348,16,323,121684,5399,32084,40477,26784,28425
KOHAT,KOHAT,DISTRICT,URBAN,41909,24674,12392,1643,2650,33,517,37444,1265,5598,14704,10769,10838
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,OVERALL,33983,31163,328,2126,15,14,337,30395,3222,9705,11123,6685,6470
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,RURAL,33983,31163,328,2126,15,14,337,30395,3222,9705,11123,6685,6470
KOLAI PALAS KOHISTAN,KOLAI PALAS KOHISTAN,DISTRICT,URBAN,,,,,,,,,,,,,
KURRAM,KURRAM,DISTRICT,OVERALL,94548,80241,8276,5270,428,44,289,89400,4387,20360,29408,18336,26444
KURRAM,KURRAM,DISTRICT,RURAL,89810,77765,6352,5108,285,39,261,84975,4250,19721,28257,17283,24549
KURRAM,KURRAM,DISTRICT,URBAN,4738,2476,1924,162,143,5,28,4425,137,639,1151,1053,1895
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,OVERALL,131800,123454,5509,2164,136,105,432,128709,2418,31745,40151,28080,31824
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,RURAL,117906,112699,2640,2026,71,105,365,115162,2203,29778,35856,24643,27629
LAKKI MARWAT,LAKKI MARWAT,DISTRICT,URBAN,13894,10755,2869,138,65,,67,13547,215,1967,4295,3437,4195
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,OVERALL,46028,42305,2401,1004,211,20,87,43847,1863,8103,13440,11204,13281
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,RURAL,37673,35444,1206,914,26,15,68,36018,1546,7689,11747,9266,8971
LOWER CHITRAL,LOWER CHITRAL,DISTRICT,URBAN,8355,6861,1195,90,185,5,19,7829,317,414,1693,1938,4310
LOWER DIR,LOWER DIR,DISTRICT,OVERALL,202836,180347,12813,8289,845,42,500,190666,10783,39322,50949,41888,70677
LOWER DIR,LOWER DIR,DISTRICT,RURAL,196763,176634,10972,7952,672,41,492,184928,10630,38480,49305,40558,68420
LOWER DIR,LOWER DIR,DISTRICT,URBAN,6073,3713,1841,337,173,1,8,5738,153,842,1644,1330,2257
LOWER KOHISTAN,LOWER KOHISTAN,DISTRICT,OVERALL,47347,42869,1075,2670,26,14,693,45158,1456,17319,15440,7717,6871
LOWER KOHISTAN,LOWER KOHISTAN,DISTRICT,RURAL,47347,42869,1075,2670,26,14,693,45158,1456,17319,15440,7717,6871
LOWER KOHISTAN,LOWER KOHISTAN,DISTRICT,URBAN,,,,,,,,,,,,,
MALAKAND,MALAKAND,DISTRICT,OVERALL,113118,91263,14369,6395,446,20,625,107759,4268,21341,33313,25371,33093
MALAKAND,MALAKAND,DISTRICT,RURAL,102779,83954,11612,6247,336,18,612,97800,4013,19310,30087,23204,30178
MALAKAND,MALAKAND,DISTRICT,URBAN,10339,7309,2757,148,110,2,13,9959,255,2031,3226,2167,2915
MANSEHRA,MANSEHRA,DISTRICT,OVERALL,294052,246860,29936,15344,494,104,1314,278461,13679,72055,116714,59266,46017
MANSEHRA,MANSEHRA,DISTRICT,RURAL,267481,229804,21102,14935,288,98,1254,253308,12533,69246,109023,50942,38270
MANSEHRA,MANSEHRA,DISTRICT,URBAN,26571,17056,8834,409,206,6,60,25153,1146,2809,7691,8324,7747
MARDAN,MARDAN,DISTRICT,OVERALL,400859,326391,49937,20913,1300,82,2236,385007,12234,103331,136134,82257,79137
MARDAN,MARDAN,DISTRICT,RURAL,332734,278439,32465,19458,370,38,1964,319982,10380,89935,112097,67177,63525
MARDAN,MARDAN,DISTRICT,URBAN,68125,47952,17472,1455,930,44,272,65025,1854,13396,24037,15080,15612
MOHMAND,MOHMAND,DISTRICT,OVERALL,63973,60877,749,1878,294,21,154,62352,1152,14323,17718,13971,17961
MOHMAND,MOHMAND,DISTRICT,RURAL,63973,60877,749,1878,294,21,154,62352,1152,14323,17718,13971,17961
MOHMAND,MOHMAND,DISTRICT,URBAN,,,,,,,,,,,,,
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,OVERALL,99595,93321,2653,2456,444,56,665,94768,3662,39689,26315,14090,19501
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,RURAL,98985,93281,2480,2451,57,56,660,94562,3650,39529,26061,13975,19420
NORTH WAZIRISTAN,NORTH WAZIRISTAN,DISTRICT,URBAN,610,40,173,5,387,,5,206,12,160,254,115,81
NOWSHERA,NOWSHERA,DISTRICT,OVERALL,259774,213095,31983,8894,4736,367,699,245232,8740,78619,90901,47543,42711
NOWSHERA,NOWSHERA,DISTRICT,RURAL,206464,176342,20763,8124,477,253,505,198341,6888,65451,69607,37267,34139
NOWSHERA,NOWSHERA,DISTRICT,URBAN,53310,36753,11220,770,4259,114,194,46891,1852,13168,21294,10276,8572
ORAKZAI,ORAKZAI,DISTRICT,OVERALL,52104,50186,510,1288,24,23,73,50965,1019,11483,19093,11158,10370
ORAKZAI,ORAKZAI,DISTRICT,RURAL,52104,50186,510,1288,24,23,73,50965,1019,11483,19093,11158,10370
ORAKZAI,ORAKZAI,DISTRICT,URBAN,,,,,,,,,,,,,
PESHAWAR,PESHAWAR,DISTRICT,OVERALL,690976,472781,180181,22859,12442,224,2489,659977,15844,183392,205988,135842,165754
PESHAWAR,PESHAWAR,DISTRICT,RURAL,415031,319714,72729,19057,1490,110,1931,403129,8371,143741,130499,70818,69973
PESHAWAR,PESHAWAR,DISTRICT,URBAN,275945,153067,107452,3802,10952,114,558,256848,7473,39651,75489,65024,95781
SHANGLA,SHANGLA,DISTRICT,OVERALL,125540,111579,5727,7442,33,20,739,120511,4237,34832,51502,23112,16094
SHANGLA,SHANGLA,DISTRICT,RURAL,125540,111579,5727,7442,33,20,739,120511,4237,34832,51502,23112,16094
SHANGLA,SHANGLA,DISTRICT,URBAN,,,,,,,,,,,,,
SOUTH WAZIRISTAN,SOUTH WAZIRISTAN,DISTRICT,OVERALL,178636,171678,3819,1791,218,99,1031,173812,3476,39196,58961,41613,38866
SOUTH WAZIRISTAN,SOUTH WAZIRISTAN,DISTRICT,RURAL,178636,171678,3819,1791,218,99,1031,173812,3476,39196,58961,41613,38866
SOUTH WAZIRISTAN,SOUTH WAZIRISTAN,DISTRICT,URBAN,,,,,,,,,,,,,
SWABI,SWABI,DISTRICT,OVERALL,278976,229533,27737,17776,2235,271,1424,265140,9906,83360,98147,50940,46529
SWABI,SWABI,DISTRICT,RURAL,229655,192929,19952,14232,1359,220,963,218738,8375,71379,80467,40869,36940
SWABI,SWABI,DISTRICT,URBAN,49321,36604,7785,3544,876,51,461,46402,1531,11981,17680,10071,9589
SWAT,SWAT,DISTRICT,OVERALL,381212,308636,54941,15693,576,65,1301,367373,11897,87233,125735,77914,90330
SWAT,SWAT,DISTRICT,RURAL,263159,226352,24085,11597,118,47,960,253334,8700,61552,86360,54925,60322
SWAT,SWAT,DISTRICT,URBAN,118053,82284,30856,4096,458,18,341,114039,3197,25681,39375,22989,30008
TANK,TANK,DISTRICT,OVERALL,70563,66725,2135,1213,193,31,266,68508,1565,29831,22738,10429,7565
TANK,TANK,DISTRICT,RURAL,63302,60663,1150,1137,79,16,257,61514,1436,28582,20304,8563,5853
TANK,TANK,DISTRICT,URBAN,7261,6062,985,76,114,15,9,6994,129,1249,2434,1866,1712
TORGHAR,TORGHAR,DISTRICT,OVERALL,29410,21358,4764,2763,21,11,493,27626,1259,11541,12428,3665,1776
TORGHAR,TORGHAR,DISTRICT,RURAL,29410,21358,4764,2763,21,11,493,27626,1259,11541,12428,3665,1776
TORGHAR,TORGHAR,DISTRICT,URBAN,,,,,,,,,,,,,
UPPER CHITRAL,UPPER CHITRAL,DISTRICT,OVERALL,26365,25968,148,175,16,20,38,24623,1668,3498,6841,6342,9684
UPPER CHITRAL,UPPER CHITRAL,DISTRICT,RURAL,26365,25968,148,175,16,20,38,24623,1668,3498,6841,6342,9684
UPPER CHITRAL,UPPER CHITRAL,DISTRICT,URBAN,,,,,,,,,,,,,
UPPER DIR,UPPER DIR,DISTRICT,OVERALL,149536,139002,3020,7026,70,27,391,139327,9721,54444,45238,24249,25605
UPPER DIR,UPPER DIR,DISTRICT,RURAL,142928,133227,2448,6803,45,26,379,132938,9540,52269,43311,23162,24186
UPPER DIR,UPPER DIR,DISTRICT,URBAN,6608,5775,572,223,25,1,12,6389,181,2175,1927,1087,1419
UPPER KOHISTAN,UPPER KOHISTAN,DISTRICT,OVERALL,63712,59494,516,3296,48,20,338,60030,3276,31484,19257,8055,4916
UPPER KOHISTAN,UPPER KOHISTAN,DISTRICT,RURAL,63712,59494,516,3296,48,20,338,60030,3276,31484,19257,8055,4916
UPPER KOHISTAN,UPPER KOHISTAN,DISTRICT,URBAN,,,,,,,,,,,,,
