district,sex_age_group__in_years_,all_sexes_overall,male_overall,female_overall,transgender_overall,all_sexes_rural,male_rural,female_rural,transgender_rural,all_sexes_urban,male_urban,female_urban,transgender_urban
ATTOCK,ALL AGES,2133005,1071693,1061231,81,1546356,775739,770599,18,586649,295954,290632,63
ATTOCK,BELOW 1,36042,18112,17930,,26655,13481,13174,,9387,4631,4756,
ATTOCK,01,45952,23298,22654,,33297,16866,16431,,12655,6432,6223,
ATTOCK,02,51349,25931,25418,,37389,18891,18498,,13960,7040,6920,
ATTOCK,03,54402,27134,27268,,39350,19508,19842,,15052,7626,7426,
ATTOCK,04,54556,27184,27372,,39375,19697,19678,,15181,7487,7694,
ATTOCK,05,48546,24047,24499,,35218,17381,17837,,13328,6666,6662,
ATTOCK,06,47755,23898,23857,,34143,17081,17062,,13612,6817,6795,
ATTOCK,07,46900,23716,23184,,33650,17033,16617,,13250,6683,6567,
ATTOCK,08,44736,22492,22244,,32130,16213,15917,,12606,6279,6327,
ATTOCK,09,43225,21737,21488,,30982,15532,15450,,12243,6205,6038,
ATTOCK,10,44603,22131,22472,,31786,15712,16074,,12817,6419,6398,
ATTOCK,11,47423,23961,23462,,33560,16907,16653,,13863,7054,6809,
ATTOCK,12,46688,23466,23222,,33066,16582,16484,,13622,6884,6738,
ATTOCK,13,46279,23517,22762,,32463,16456,16007,,13816,7061,6755,
ATTOCK,14,45828,23362,22465,1,32595,16550,16044,1,13233,6812,6421,
ATTOCK,15,41772,21146,20624,2,29697,14860,14835,2,12075,6286,5789,
ATTOCK,16,41550,21374,20173,3,29590,15042,14547,1,11960,6332,5626,2
ATTOCK,17,40841,20470,20370,1,29407,14593,14813,1,11434,5877,5557,
ATTOCK,18,37788,18805,18981,2,27170,13432,13737,1,10618,5373,5244,1
ATTOCK,19,38332,19387,18944,1,27511,13905,13606,,10821,5482,5338,1
ATTOCK,20,35375,17749,17624,2,25725,12803,12921,1,9650,4946,4703,1
ATTOCK,21,36325,18459,17864,2,26072,13288,12784,,10253,5171,5080,2
ATTOCK,22,36793,18449,18339,5,26764,13442,13321,1,10029,5007,5018,4
ATTOCK,23,33440,16777,16660,3,24175,12224,11951,,9265,4553,4709,3
ATTOCK,24,34550,16991,17556,3,25126,12466,12660,,9424,4525,4896,3
ATTOCK,25,33115,17091,16020,4,24623,12773,11848,2,8492,4318,4172,2
ATTOCK,26,36472,17727,18743,2,26559,12992,13565,2,9913,4735,5178,
ATTOCK,27,33335,16246,17088,1,24381,11919,12461,1,8954,4327,4627,
ATTOCK,28,32507,15767,16733,7,23775,11592,12182,1,8732,4175,4551,6
ATTOCK,29,30663,13868,16793,2,22118,10028,12090,,8545,3840,4703,2
ATTOCK,30,31619,15232,16382,5,23035,11163,11872,,8584,4069,4510,5
ATTOCK,31,31859,15248,16610,1,22989,11031,11958,,8870,4217,4652,1
ATTOCK,32,32810,15661,17146,3,23622,11350,12272,,9188,4311,4874,3
ATTOCK,33,29045,13898,15146,1,21078,10184,10894,,7967,3714,4252,1
ATTOCK,34,30486,14447,16037,2,21869,10362,11507,,8617,4085,4530,2
ATTOCK,35,27513,13213,14294,6,19913,9565,10348,,7600,3648,3946,6
ATTOCK,36,33127,16044,17082,1,23558,11447,12111,,9569,4597,4971,1
ATTOCK,37,29224,14450,14773,1,20826,10268,10557,1,8398,4182,4216,
ATTOCK,38,30448,15548,14898,2,21946,11232,10714,,8502,4316,4184,2
ATTOCK,39,29147,14295,14852,,20924,10297,10627,,8223,3998,4225,
ATTOCK,40,26762,13054,13704,4,19123,9285,9838,,7639,3769,3866,4
ATTOCK,41,25339,12321,13018,,18286,8955,9331,,7053,3366,3687,
ATTOCK,42,27995,14003,13992,,19793,9821,9972,,8202,4182,4020,
ATTOCK,43,24190,12562,11626,2,17286,8920,8366,,6904,3642,3260,2
ATTOCK,44,26301,13432,12869,,18704,9503,9201,,7597,3929,3668,
ATTOCK,45,22281,11312,10967,2,16059,8033,8026,,6222,3279,2941,2
ATTOCK,46,24137,12216,11921,,17182,8666,8516,,6955,3550,3405,
ATTOCK,47,19956,10503,9452,1,14183,7349,6834,,5773,3154,2618,1
ATTOCK,48,20093,10462,9629,2,14696,7563,7132,1,5397,2899,2497,1
ATTOCK,49,19995,10114,9881,,14434,7199,7235,,5561,2915,2646,
ATTOCK,50,18793,9339,9453,1,13700,6726,6974,,5093,2613,2479,1
ATTOCK,51,18125,9087,9038,,13364,6661,6703,,4761,2426,2335,
ATTOCK,52,18304,9416,8888,,13494,6877,6617,,4810,2539,2271,
ATTOCK,53,15953,8297,7655,1,11799,6069,5730,,4154,2228,1925,1
ATTOCK,54,18459,9352,9105,2,13649,6871,6777,1,4810,2481,2328,1
ATTOCK,55,15744,8211,7533,,11679,6051,5628,,4065,2160,1905,
ATTOCK,56,17276,8814,8462,,12799,6473,6326,,4477,2341,2136,
ATTOCK,57,14540,7605,6935,,10781,5617,5164,,3759,1988,1771,
ATTOCK,58,14158,7652,6506,,10738,5790,4948,,3420,1862,1558,
ATTOCK,59,13737,7250,6487,,10111,5293,4818,,3626,1957,1669,
ATTOCK,60,14111,7213,6898,,10495,5388,5107,,3616,1825,1791,
ATTOCK,61,12927,6885,6042,,9597,5078,4519,,3330,1807,1523,
ATTOCK,62,11969,6816,5153,,8891,5003,3888,,3078,1813,1265,
ATTOCK,63,10707,6030,4676,1,7895,4418,3477,,2812,1612,1199,1
ATTOCK,64,11297,5844,5453,,8502,4395,4107,,2795,1449,1346,
ATTOCK,65,12030,5401,6629,,9055,4064,4991,,2975,1337,1638,
ATTOCK,66,10118,5337,4781,,7643,4014,3629,,2475,1323,1152,
ATTOCK,67,8910,4789,4121,,6730,3589,3141,,2180,1200,980,
ATTOCK,68,7862,4369,3492,1,6053,3336,2716,1,1809,1033,776,
ATTOCK,69,7838,3954,3884,,6003,3029,2974,,1835,925,910,
ATTOCK,70,8840,4428,4412,,6796,3410,3386,,2044,1018,1026,
ATTOCK,71,5240,3607,1633,,4114,2797,1317,,1126,810,316,
ATTOCK,72,6887,3706,3181,,5279,2839,2440,,1608,867,741,
ATTOCK,73,6023,3345,2678,,4711,2587,2124,,1312,758,554,
ATTOCK,74,6343,3239,3104,,4941,2525,2416,,1402,714,688,
ATTOCK,75 & ABOVE,37345,19400,17944,1,29679,15397,14282,,7666,4003,3662,1
BAHAWALNAGAR,ALL AGES,3544911,1842888,1701653,370,2571296,1336950,1234246,100,973615,505938,467407,270
BAHAWALNAGAR,BELOW 1,82644,42545,40099,,62428,32064,30364,,20216,10481,9735,
BAHAWALNAGAR,01,92035,48181,43854,,68899,36185,32714,,23136,11996,11140,
BAHAWALNAGAR,02,99809,51699,48110,,75596,39158,36438,,24213,12541,11672,
BAHAWALNAGAR,03,104751,53887,50864,,79328,40883,38445,,25423,13004,12419,
BAHAWALNAGAR,04,113439,59193,54246,,86175,45118,41057,,27264,14075,13189,
BAHAWALNAGAR,05,99004,51806,47198,,74428,38892,35536,,24576,12914,11662,
BAHAWALNAGAR,06,99064,51556,47508,,74560,38842,35718,,24504,12714,11790,
BAHAWALNAGAR,07,97431,50455,46976,,72211,37424,34787,,25220,13031,12189,
BAHAWALNAGAR,08,95950,50343,45607,,72060,37881,34179,,23890,12462,11428,
BAHAWALNAGAR,09,87794,46385,41409,,64637,34159,30478,,23157,12226,10931,
BAHAWALNAGAR,10,95740,51706,44034,,70802,38106,32696,,24938,13600,11338,
BAHAWALNAGAR,11,92256,49818,42438,,66265,35680,30585,,25991,14138,11853,
BAHAWALNAGAR,12,91724,50246,41478,,65944,35822,30122,,25780,14424,11356,
BAHAWALNAGAR,13,85647,46865,38782,,60492,32839,27653,,25155,14026,11129,
BAHAWALNAGAR,14,85080,45764,39302,14,60917,32449,28457,11,24163,13315,10845,3
BAHAWALNAGAR,15,75570,40489,35070,11,53695,28633,25054,8,21875,11856,10016,3
BAHAWALNAGAR,16,74644,40134,34504,6,53088,28490,24593,5,21556,11644,9911,1
BAHAWALNAGAR,17,67148,35660,31482,6,46712,24724,21984,4,20436,10936,9498,2
BAHAWALNAGAR,18,69904,36261,33638,5,50319,26023,24295,1,19585,10238,9343,4
BAHAWALNAGAR,19,62493,32193,30295,5,43520,22540,20979,1,18973,9653,9316,4
BAHAWALNAGAR,20,66355,33209,33135,11,47849,23816,24028,5,18506,9393,9107,6
BAHAWALNAGAR,21,55696,27983,27702,11,38687,19591,19096,,17009,8392,8606,11
BAHAWALNAGAR,22,60193,30580,29595,18,42833,21849,20981,3,17360,8731,8614,15
BAHAWALNAGAR,23,50285,25654,24617,14,35205,18076,17128,1,15080,7578,7489,13
BAHAWALNAGAR,24,52133,26421,25705,7,36496,18654,17842,,15637,7767,7863,7
BAHAWALNAGAR,25,58256,30378,27845,33,42641,22236,20400,5,15615,8142,7445,28
BAHAWALNAGAR,26,52799,26310,26475,14,37022,18641,18380,1,15777,7669,8095,13
BAHAWALNAGAR,27,50103,25474,24622,7,35283,18094,17188,1,14820,7380,7434,6
BAHAWALNAGAR,28,49307,24626,24663,18,35007,17601,17404,2,14300,7025,7259,16
BAHAWALNAGAR,29,43897,20257,23635,5,30980,14293,16685,2,12917,5964,6950,3
BAHAWALNAGAR,30,48962,24366,24573,23,35459,17547,17904,8,13503,6819,6669,15
BAHAWALNAGAR,31,43526,21227,22298,1,30729,15011,15718,,12797,6216,6580,1
BAHAWALNAGAR,32,45706,22217,23474,15,32230,15739,16490,1,13476,6478,6984,14
BAHAWALNAGAR,33,43259,21350,21904,5,30429,15064,15365,,12830,6286,6539,5
BAHAWALNAGAR,34,44997,22124,22869,4,32084,15867,16217,,12913,6257,6652,4
BAHAWALNAGAR,35,43417,21704,21702,11,31298,15557,15736,5,12119,6147,5966,6
BAHAWALNAGAR,36,42553,21314,21233,6,30071,15196,14872,3,12482,6118,6361,3
BAHAWALNAGAR,37,43716,22436,21277,3,31208,16099,15108,1,12508,6337,6169,2
BAHAWALNAGAR,38,40340,20828,19506,6,28567,14773,13792,2,11773,6055,5714,4
BAHAWALNAGAR,39,39900,20131,19762,7,28301,14315,13985,1,11599,5816,5777,6
BAHAWALNAGAR,40,38194,19058,19116,20,27460,13571,13883,6,10734,5487,5233,14
BAHAWALNAGAR,41,35307,17840,17467,,25371,12911,12460,,9936,4929,5007,
BAHAWALNAGAR,42,39511,20023,19485,3,28327,14482,13845,,11184,5541,5640,3
BAHAWALNAGAR,43,35122,18464,16654,4,25254,13331,11922,1,9868,5133,4732,3
BAHAWALNAGAR,44,36656,18968,17681,7,26160,13495,12663,2,10496,5473,5018,5
BAHAWALNAGAR,45,31368,16127,15231,10,22294,11390,10900,4,9074,4737,4331,6
BAHAWALNAGAR,46,30089,15732,14354,3,21266,11115,10150,1,8823,4617,4204,2
BAHAWALNAGAR,47,29773,15287,14481,5,21401,10934,10466,1,8372,4353,4015,4
BAHAWALNAGAR,48,28209,14383,13823,3,20002,10086,9916,,8207,4297,3907,3
BAHAWALNAGAR,49,27320,14124,13194,2,19399,10006,9391,2,7921,4118,3803,
BAHAWALNAGAR,50,27033,13471,13551,11,19384,9538,9842,4,7649,3933,3709,7
BAHAWALNAGAR,51,25255,13284,11969,2,17919,9404,8514,1,7336,3880,3455,1
BAHAWALNAGAR,52,29311,15106,14198,7,21162,10916,10243,3,8149,4190,3955,4
BAHAWALNAGAR,53,25379,13389,11988,2,18263,9623,8640,,7116,3766,3348,2
BAHAWALNAGAR,54,26276,13802,12473,1,18860,9873,8987,,7416,3929,3486,1
BAHAWALNAGAR,55,23392,12616,10771,5,16757,9010,7747,,6635,3606,3024,5
BAHAWALNAGAR,56,22739,12334,10404,1,16285,8831,7454,,6454,3503,2950,1
BAHAWALNAGAR,57,22814,12185,10628,1,16796,8975,7821,,6018,3210,2807,1
BAHAWALNAGAR,58,19868,10811,9057,,14207,7794,6413,,5661,3017,2644,
BAHAWALNAGAR,59,18459,10080,8377,2,13053,7134,5918,1,5406,2946,2459,1
BAHAWALNAGAR,60,19640,10273,9362,5,14454,7533,6919,2,5186,2740,2443,3
BAHAWALNAGAR,61,17396,9520,7876,,12360,6818,5542,,5036,2702,2334,
BAHAWALNAGAR,62,15803,8545,7257,1,11365,6069,5296,,4438,2476,1961,1
BAHAWALNAGAR,63,14199,7667,6531,1,10305,5488,4817,,3894,2179,1714,1
BAHAWALNAGAR,64,13915,7234,6680,1,10105,5226,4879,,3810,2008,1801,1
BAHAWALNAGAR,65,16138,7626,8512,,11818,5543,6275,,4320,2083,2237,
BAHAWALNAGAR,66,12150,6532,5618,,8732,4709,4023,,3418,1823,1595,
BAHAWALNAGAR,67,11217,6199,5017,1,8233,4501,3731,1,2984,1698,1286,
BAHAWALNAGAR,68,9388,5297,4090,1,6928,3924,3004,,2460,1373,1086,1
BAHAWALNAGAR,69,9350,4875,4475,,6884,3620,3264,,2466,1255,1211,
BAHAWALNAGAR,70,12223,6212,6009,2,9144,4627,4517,,3079,1585,1492,2
BAHAWALNAGAR,71,6553,4698,1855,,4924,3526,1398,,1629,1172,457,
BAHAWALNAGAR,72,8139,4318,3821,,6207,3300,2907,,1932,1018,914,
BAHAWALNAGAR,73,7169,4125,3043,1,5451,3106,2345,,1718,1019,698,1
BAHAWALNAGAR,74,7169,3675,3493,1,5516,2845,2671,,1653,830,822,1
BAHAWALNAGAR,75 & ABOVE,44860,25233,19626,1,34795,19765,15030,,10065,5468,4596,1
BAHAWALPUR,ALL AGES,4264457,2165158,2098830,469,2662487,1350146,1312204,137,1601970,815012,786626,332
BAHAWALPUR,BELOW 1,98488,49555,48933,,65236,33071,32165,,33252,16484,16768,
BAHAWALPUR,01,121032,61341,59691,,78127,39410,38717,,42905,21931,20974,
BAHAWALPUR,02,135040,68182,66858,,88590,44489,44101,,46450,23693,22757,
BAHAWALPUR,03,142227,71863,70364,,93246,47073,46173,,48981,24790,24191,
BAHAWALPUR,04,151604,76212,75392,,100489,50400,50089,,51115,25812,25303,
BAHAWALPUR,05,123180,62767,60413,,82021,41638,40383,,41159,21129,20030,
BAHAWALPUR,06,121647,61252,60395,,80778,40658,40120,,40869,20594,20275,
BAHAWALPUR,07,118199,59107,59092,,77701,38769,38932,,40498,20338,20160,
BAHAWALPUR,08,116472,58733,57739,,77775,39354,38421,,38697,19379,19318,
BAHAWALPUR,09,103512,52084,51428,,66563,33446,33117,,36949,18638,18311,
BAHAWALPUR,10,111274,56015,55259,,73108,36811,36297,,38166,19204,18962,
BAHAWALPUR,11,104254,53128,51126,,65006,33047,31959,,39248,20081,19167,
BAHAWALPUR,12,104050,52595,51455,,66186,33391,32795,,37864,19204,18660,
BAHAWALPUR,13,96736,49265,47471,,59441,30199,29242,,37295,19066,18229,
BAHAWALPUR,14,95997,48804,47175,18,59744,30267,29467,10,36253,18537,17708,8
BAHAWALPUR,15,86948,44176,42755,17,53716,27192,26513,11,33232,16984,16242,6
BAHAWALPUR,16,86127,44339,41779,9,53007,27180,25823,4,33120,17159,15956,5
BAHAWALPUR,17,77233,39639,37586,8,46059,23301,22758,,31174,16338,14828,8
BAHAWALPUR,18,86078,42693,43375,10,53721,26314,27405,2,32357,16379,15970,8
BAHAWALPUR,19,77584,39207,38368,9,45237,22776,22459,2,32347,16431,15909,7
BAHAWALPUR,20,82179,40529,41630,20,49938,24516,25417,5,32241,16013,16213,15
BAHAWALPUR,21,71659,36009,35638,12,40212,20364,19846,2,31447,15645,15792,10
BAHAWALPUR,22,73930,37043,36866,21,43243,21713,21528,2,30687,15330,15338,19
BAHAWALPUR,23,64789,32495,32281,13,37194,18996,18198,,27595,13499,14083,13
BAHAWALPUR,24,65282,32824,32438,20,38224,19372,18845,7,27058,13452,13593,13
BAHAWALPUR,25,72927,38433,34459,35,44723,23864,20852,7,28204,14569,13607,28
BAHAWALPUR,26,64208,32054,32144,10,37968,19275,18691,2,26240,12779,13453,8
BAHAWALPUR,27,59559,29840,29711,8,35510,17883,17625,2,24049,11957,12086,6
BAHAWALPUR,28,59792,29469,30306,17,35924,17830,18092,2,23868,11639,12214,15
BAHAWALPUR,29,52988,23711,29261,16,31395,14058,17335,2,21593,9653,11926,14
BAHAWALPUR,30,57393,28299,29072,22,34784,17432,17345,7,22609,10867,11727,15
BAHAWALPUR,31,54921,26539,28378,4,33313,16170,17143,,21608,10369,11235,4
BAHAWALPUR,32,54864,26415,28436,13,32706,15727,16976,3,22158,10688,11460,10
BAHAWALPUR,33,54799,26536,28255,8,33732,16233,17497,2,21067,10303,10758,6
BAHAWALPUR,34,53214,26027,27180,7,32339,15985,16353,1,20875,10042,10827,6
BAHAWALPUR,35,52594,27175,25390,29,31655,16436,15208,11,20939,10739,10182,18
BAHAWALPUR,36,50349,25307,25031,11,29410,14736,14673,1,20939,10571,10358,10
BAHAWALPUR,37,50262,25443,24815,4,30466,15210,15256,,19796,10233,9559,4
BAHAWALPUR,38,51057,25501,25545,11,30675,15134,15538,3,20382,10367,10007,8
BAHAWALPUR,39,48000,24226,23769,5,28558,14251,14306,1,19442,9975,9463,4
BAHAWALPUR,40,45039,23041,21977,21,27132,13805,13319,8,17907,9236,8658,13
BAHAWALPUR,41,45710,23319,22387,4,28792,14798,13991,3,16918,8521,8396,1
BAHAWALPUR,42,48244,25129,23109,6,30573,15943,14627,3,17671,9186,8482,3
BAHAWALPUR,43,47677,24873,22800,4,30500,15891,14609,,17177,8982,8191,4
BAHAWALPUR,44,42428,22138,20290,,25910,13470,12440,,16518,8668,7850,
BAHAWALPUR,45,37406,19886,17496,24,22264,11850,10402,12,15142,8036,7094,12
BAHAWALPUR,46,35071,18337,16732,2,20755,10783,9971,1,14316,7554,6761,1
BAHAWALPUR,47,34955,18040,16912,3,21837,11061,10774,2,13118,6979,6138,1
BAHAWALPUR,48,35632,17955,17675,2,22399,11183,11216,,13233,6772,6459,2
BAHAWALPUR,49,31452,16483,14969,,18629,9723,8906,,12823,6760,6063,
BAHAWALPUR,50,29823,15293,14525,5,17665,9013,8650,2,12158,6280,5875,3
BAHAWALPUR,51,28718,15170,13546,2,17384,9178,8206,,11334,5992,5340,2
BAHAWALPUR,52,31418,16201,15214,3,19540,9962,9575,3,11878,6239,5639,
BAHAWALPUR,53,30493,15654,14835,4,19476,9879,9595,2,11017,5775,5240,2
BAHAWALPUR,54,27701,14846,12854,1,16575,8910,7664,1,11126,5936,5190,
BAHAWALPUR,55,25671,14198,11467,6,15457,8594,6860,3,10214,5604,4607,3
BAHAWALPUR,56,24227,13277,10948,2,14308,7944,6364,,9919,5333,4584,2
BAHAWALPUR,57,23728,12739,10984,5,14663,7794,6869,,9065,4945,4115,5
BAHAWALPUR,58,22797,11986,10810,1,14295,7442,6852,1,8502,4544,3958,
BAHAWALPUR,59,19472,10892,8579,1,11463,6465,4998,,8009,4427,3581,1
BAHAWALPUR,60,21205,11350,9850,5,12823,6854,5968,1,8382,4496,3882,4
BAHAWALPUR,61,18642,10299,8343,,11129,6146,4983,,7513,4153,3360,
BAHAWALPUR,62,16615,9067,7548,,10147,5388,4759,,6468,3679,2789,
BAHAWALPUR,63,17578,9275,8302,1,10944,5604,5340,,6634,3671,2962,1
BAHAWALPUR,64,14762,7580,7182,,8834,4444,4390,,5928,3136,2792,
BAHAWALPUR,65,17991,8510,9479,2,11142,5258,5883,1,6849,3252,3596,1
BAHAWALPUR,66,13023,6968,6053,2,7920,4217,3703,,5103,2751,2350,2
BAHAWALPUR,67,12709,6818,5891,,7921,4136,3785,,4788,2682,2106,
BAHAWALPUR,68,11239,5832,5407,,7139,3588,3551,,4100,2244,1856,
BAHAWALPUR,69,10245,5106,5139,,6252,3080,3172,,3993,2026,1967,
BAHAWALPUR,70,13375,6868,6503,4,8647,4423,4221,3,4728,2445,2282,1
BAHAWALPUR,71,7307,5078,2229,,4765,3252,1513,,2542,1826,716,
BAHAWALPUR,72,8889,4719,4170,,6143,3251,2892,,2746,1468,1278,
BAHAWALPUR,73,8322,4666,3656,,5730,3107,2623,,2592,1559,1033,
BAHAWALPUR,74,7316,3672,3644,,4801,2447,2354,,2515,1225,1290,
BAHAWALPUR,75 & ABOVE,45129,25061,20066,2,30813,17292,13519,2,14316,7769,6547,
BHAKKAR,ALL AGES,1956971,1016124,940770,77,1604680,833033,771611,36,352291,183091,169159,41
BHAKKAR,BELOW 1,74322,40225,34097,,61743,33508,28235,,12579,6717,5862,
BHAKKAR,01,61897,33167,28730,,51064,27203,23861,,10833,5964,4869,
BHAKKAR,02,70114,37720,32394,,58152,31180,26972,,11962,6540,5422,
BHAKKAR,03,70860,38054,32806,,58720,31442,27278,,12140,6612,5528,
BHAKKAR,04,72890,39371,33519,,60561,32657,27904,,12329,6714,5615,
BHAKKAR,05,53070,27896,25174,,44417,23397,21020,,8653,4499,4154,
BHAKKAR,06,51357,26575,24782,,42853,22249,20604,,8504,4326,4178,
BHAKKAR,07,49620,25459,24161,,41401,21270,20131,,8219,4189,4030,
BHAKKAR,08,46646,24092,22554,,39028,20132,18896,,7618,3960,3658,
BHAKKAR,09,43148,22099,21049,,35950,18443,17507,,7198,3656,3542,
BHAKKAR,10,45122,23631,21491,,37729,19710,18019,,7393,3921,3472,
BHAKKAR,11,44416,23229,21187,,36460,19071,17389,,7956,4158,3798,
BHAKKAR,12,42859,22679,20180,,35463,18680,16783,,7396,3999,3397,
BHAKKAR,13,41755,22159,19596,,34312,18153,16159,,7443,4006,3437,
BHAKKAR,14,42730,22668,20059,3,35301,18696,16602,3,7429,3972,3457,
BHAKKAR,15,38408,20218,18187,3,31542,16559,14981,2,6866,3659,3206,1
BHAKKAR,16,38807,20374,18432,1,31821,16676,15144,1,6986,3698,3288,
BHAKKAR,17,36922,19419,17497,6,30021,15749,14268,4,6901,3670,3229,2
BHAKKAR,18,35970,18611,17358,1,29646,15270,14375,1,6324,3341,2983,
BHAKKAR,19,33566,17449,16116,1,27247,14166,13080,1,6319,3283,3036,
BHAKKAR,20,33580,16966,16612,2,27467,13875,13591,1,6113,3091,3021,1
BHAKKAR,21,31674,16124,15548,2,25633,13137,12496,,6041,2987,3052,2
BHAKKAR,22,31278,16117,15158,3,25482,13200,12281,1,5796,2917,2877,2
BHAKKAR,23,29796,15289,14507,,24176,12444,11732,,5620,2845,2775,
BHAKKAR,24,31136,15646,15488,2,25084,12605,12478,1,6052,3041,3010,1
BHAKKAR,25,29561,15390,14169,2,24134,12597,11537,,5427,2793,2632,2
BHAKKAR,26,30124,14579,15541,4,24140,11724,12413,3,5984,2855,3128,1
BHAKKAR,27,29274,14590,14683,1,23673,11842,11831,,5601,2748,2852,1
BHAKKAR,28,27443,13890,13549,4,21988,11236,10749,3,5455,2654,2800,1
BHAKKAR,29,26995,12499,14494,2,21806,10170,11634,2,5189,2329,2860,
BHAKKAR,30,24925,12566,12357,2,20226,10200,10024,2,4699,2366,2333,
BHAKKAR,31,27153,13267,13886,,21952,10694,11258,,5201,2573,2628,
BHAKKAR,32,25769,12706,13061,2,20738,10223,10515,,5031,2483,2546,2
BHAKKAR,33,26014,12907,13106,1,21235,10464,10771,,4779,2443,2335,1
BHAKKAR,34,25469,12578,12891,,20487,10095,10392,,4982,2483,2499,
BHAKKAR,35,20395,10261,10129,5,16512,8299,8212,1,3883,1962,1917,4
BHAKKAR,36,22629,11447,11181,1,18050,9132,8918,,4579,2315,2263,1
BHAKKAR,37,22731,11135,11595,1,18521,9043,9477,1,4210,2092,2118,
BHAKKAR,38,21669,10730,10935,4,17443,8571,8872,,4226,2159,2063,4
BHAKKAR,39,20617,10652,9963,2,16588,8544,8043,1,4029,2108,1920,1
BHAKKAR,40,18856,9443,9411,2,15313,7692,7621,,3543,1751,1790,2
BHAKKAR,41,22169,11261,10907,1,18147,9202,8944,1,4022,2059,1963,
BHAKKAR,42,23177,11315,11861,1,18928,9237,9690,1,4249,2078,2171,
BHAKKAR,43,21557,10591,10963,3,17812,8680,9131,1,3745,1911,1832,2
BHAKKAR,44,19637,10089,9548,,15910,8141,7769,,3727,1948,1779,
BHAKKAR,45,14742,7503,7238,1,11961,6052,5909,,2781,1451,1329,1
BHAKKAR,46,16093,8379,7713,1,12762,6645,6117,,3331,1734,1596,1
BHAKKAR,47,15580,7644,7935,1,12628,6142,6485,1,2952,1502,1450,
BHAKKAR,48,14859,7277,7580,2,12057,5867,6190,,2802,1410,1390,2
BHAKKAR,49,14052,7373,6679,,11356,5945,5411,,2696,1428,1268,
BHAKKAR,50,12833,6473,6360,,10457,5285,5172,,2376,1188,1188,
BHAKKAR,51,13618,7159,6459,,11073,5846,5227,,2545,1313,1232,
BHAKKAR,52,15198,7654,7544,,12450,6263,6187,,2748,1391,1357,
BHAKKAR,53,14168,7024,7144,,11811,5816,5995,,2357,1208,1149,
BHAKKAR,54,13647,7330,6317,,11072,5941,5131,,2575,1389,1186,
BHAKKAR,55,11084,6243,4841,,9022,5120,3902,,2062,1123,939,
BHAKKAR,56,12352,6761,5591,,9962,5454,4508,,2390,1307,1083,
BHAKKAR,57,11910,6368,5539,3,9709,5204,4503,2,2201,1164,1036,1
BHAKKAR,58,11172,6004,5166,2,9128,4901,4226,1,2044,1103,940,1
BHAKKAR,59,10071,5629,4441,1,8141,4582,3558,1,1930,1047,883,
BHAKKAR,60,9385,5097,4287,1,7594,4164,3430,,1791,933,857,1
BHAKKAR,61,9471,5254,4217,,7594,4219,3375,,1877,1035,842,
BHAKKAR,62,8437,4674,3762,1,6680,3692,2988,,1757,982,774,1
BHAKKAR,63,7732,4165,3566,1,6240,3288,2952,,1492,877,614,1
BHAKKAR,64,7215,3849,3366,,5760,3078,2682,,1455,771,684,
BHAKKAR,65,7485,3658,3827,,6105,2997,3108,,1380,661,719,
BHAKKAR,66,6643,3608,3035,,5331,2912,2419,,1312,696,616,
BHAKKAR,67,6105,3343,2762,,4991,2747,2244,,1114,596,518,
BHAKKAR,68,5184,2896,2288,,4199,2379,1820,,985,517,468,
BHAKKAR,69,5055,2580,2475,,4086,2090,1996,,969,490,479,
