name_admin_unit,part_of_district,admin_unit,disab_func_lim,all_sexes_overall,male_overall,female_overall,all_sexes_rural,male_rural,female_rural,all_sexes_urban,male_urban,female_urban
ISLAMABAD,ISLAMABAD,DISTRICT,Population,2283244,1209270,1073974,1240244,649079,591165,1043000,560191,482809
ISLAMABAD,ISLAMABAD,DISTRICT,Disability,73022,43044,29978,44406,26168,18238,28616,16876,11740
ISLAMABAD,ISLAMABAD,DISTRICT,Functional limitation,185380,105255,80125,105001,59529,45472,80379,45726,34653
ISLAMABAD,ISLAMABAD,DISTRICT,Seeing,33769,19143,14626,18873,10717,8156,14896,8426,6470
ISLAMABAD,ISLAMABAD,DISTRICT,Hearing,37581,21059,16522,20861,11703,9158,16720,9356,7364
ISLAMABAD,ISLAMABAD,DISTRICT,Walking/ Climbing,61634,35195,26439,35178,20084,15094,26456,15111,11345
ISLAMABAD,ISLAMABAD,DISTRICT,Communication,22481,13137,9344,12920,7587,5333,9561,5550,4011
ISLAMABAD,ISLAMABAD,DISTRICT,Memorization/ Focus,29468,16884,12584,16975,9699,7276,12493,7185,5308
ISLAMABAD,ISLAMABAD,DISTRICT,Self care etc,22336,12620,9716,13043,7289,5754,9293,5331,3962
ISLAMABAD,ISLAMABAD,TEHSIL,Population,2283244,1209270,1073974,1240244,649079,591165,1043000,560191,482809
ISLAMABAD,ISLAMABAD,TEHSIL,Disability,73022,43044,29978,44406,26168,18238,28616,16876,11740
ISLAMABAD,ISLAMABAD,TEHSIL,Functional limitation,185380,105255,80125,105001,59529,45472,80379,45726,34653
ISLAMABAD,ISLAMABAD,TEHSIL,Seeing,33769,19143,14626,18873,10717,8156,14896,8426,6470
ISLAMABAD,ISLAMABAD,TEHSIL,Hearing,37581,21059,16522,20861,11703,9158,16720,9356,7364
ISLAMABAD,ISLAMABAD,TEHSIL,Walking/ Climbing,61634,35195,26439,35178,20084,15094,26456,15111,11345
ISLAMABAD,ISLAMABAD,TEHSIL,Communication,22481,13137,9344,12920,7587,5333,9561,5550,4011
ISLAMABAD,ISLAMABAD,TEHSIL,Memorization/ Focus,29468,16884,12584,16975,9699,7276,12493,7185,5308
ISLAMABAD,ISLAMABAD,TEHSIL,Self care etc,22336,12620,9716,13043,7289,5754,9293,5331,3962
