name_admin_unit,part_of_district,admin_unit,hh_type,overall,rural,urban
JARANWALA,FAISALABAD,TEHSIL,PAKKA,217509,179835,37674
JARANWALA,FAISALABAD,TEHSIL,SEMI PAKKA,35097,31696,3401
JARANWALA,FAISALABAD,TEHSIL,TOTAL,264519,222845,41674
JATOI,MUZAFFARGARH,TEHSIL,KACHA,30027,25532,4495
JATOI,MUZAFFARGARH,TEHSIL,PAKKA,65560,43721,21839
JATOI,MUZAFFARGARH,TEHSIL,SEMI PAKKA,42058,32333,9725
JATOI,MUZAFFARGARH,TEHSIL,TOTAL,137645,101586,36059
JHANG,JHANG,DISTRICT,KACHA,40004,36817,3187
JHANG,JHANG,DISTRICT,PAKKA,397371,276167,121204
JHANG,JHANG,DISTRICT,SEMI PAKKA,54624,45157,9467
JHANG,JHANG,DISTRICT,TOTAL,491999,358141,133858
JHANG,JHANG,TEHSIL,KACHA,16915,15092,1823
JHANG,JHANG,TEHSIL,PAKKA,223399,129067,94332
JHANG,JHANG,TEHSIL,SEMI PAKKA,23718,16572,7146
JHANG,JHANG,TEHSIL,TOTAL,264032,160731,103301
JHELUM,JHELUM,DISTRICT,KACHA,7057,5485,1572
JHELUM,JHELUM,DISTRICT,PAKKA,188131,104889,83242
JHELUM,JHELUM,DISTRICT,SEMI PAKKA,33876,28464,5412
JHELUM,JHELUM,DISTRICT,TOTAL,229064,138838,90226
JHELUM,JHELUM,TEHSIL,KACHA,1755,1125,630
JHELUM,JHELUM,TEHSIL,PAKKA,76306,26604,49702
JHELUM,JHELUM,TEHSIL,SEMI PAKKA,4985,3367,1618
JHELUM,JHELUM,TEHSIL,TOTAL,83046,31096,51950
KABIRWALA,KHANEWAL,TEHSIL,KACHA,25211,24240,971
KABIRWALA,KHANEWAL,TEHSIL,PAKKA,113939,89478,24461
KABIRWALA,KHANEWAL,TEHSIL,SEMI PAKKA,28260,26428,1832
KABIRWALA,KHANEWAL,TEHSIL,TOTAL,167410,140146,27264
KAHROR PACCA,LODHRAN,TEHSIL,KACHA,8593,7536,1057
KAHROR PACCA,LODHRAN,TEHSIL,PAKKA,78525,57633,20892
KAHROR PACCA,LODHRAN,TEHSIL,SEMI PAKKA,17406,14953,2453
KAHROR PACCA,LODHRAN,TEHSIL,TOTAL,104524,80122,24402
KAHUTA,RAWALPINDI,TEHSIL,KACHA,647,613,34
KAHUTA,RAWALPINDI,TEHSIL,PAKKA,41442,27798,13644
KAHUTA,RAWALPINDI,TEHSIL,SEMI PAKKA,1559,1509,50
KAHUTA,RAWALPINDI,TEHSIL,TOTAL,43648,29920,13728
KALLAR KAHAR,CHAKWAL,TEHSIL,KACHA,728,492,236
KALLAR KAHAR,CHAKWAL,TEHSIL,PAKKA,30856,23721,7135
KALLAR KAHAR,CHAKWAL,TEHSIL,SEMI PAKKA,2315,1494,821
KALLAR KAHAR,CHAKWAL,TEHSIL,TOTAL,33899,25707,8192
KALLAR SAYADDAN,RAWALPINDI,TEHSIL,KACHA,377,296,81
KALLAR SAYADDAN,RAWALPINDI,TEHSIL,PAKKA,39572,29663,9909
KALLAR SAYADDAN,RAWALPINDI,TEHSIL,SEMI PAKKA,1671,1488,183
KALLAR SAYADDAN,RAWALPINDI,TEHSIL,TOTAL,41620,31447,10173
KALUR KOT,BHAKKAR,TEHSIL,KACHA,7059,6879,180
KALUR KOT,BHAKKAR,TEHSIL,PAKKA,49037,42727,6310
KALUR KOT,BHAKKAR,TEHSIL,SEMI PAKKA,9597,8393,1204
KALUR KOT,BHAKKAR,TEHSIL,TOTAL,65693,57999,7694
KAMALIA,TOBA TEK SINGH,TEHSIL,KACHA,4059,3491,568
KAMALIA,TOBA TEK SINGH,TEHSIL,PAKKA,57045,32591,24454
KAMALIA,TOBA TEK SINGH,TEHSIL,SEMI PAKKA,6821,4066,2755
KAMALIA,TOBA TEK SINGH,TEHSIL,TOTAL,67925,40148,27777
KAMOKE,GUJRANWALA,TEHSIL,KACHA,2598,1672,926
KAMOKE,GUJRANWALA,TEHSIL,PAKKA,74380,36966,37414
KAMOKE,GUJRANWALA,TEHSIL,SEMI PAKKA,17258,13140,4118
KAMOKE,GUJRANWALA,TEHSIL,TOTAL,94236,51778,42458
KAROR LAL ESAN,LAYYAH,TEHSIL,KACHA,11704,11151,553
KAROR LAL ESAN,LAYYAH,TEHSIL,PAKKA,84873,71546,13327
KAROR LAL ESAN,LAYYAH,TEHSIL,SEMI PAKKA,13189,12422,767
KAROR LAL ESAN,LAYYAH,TEHSIL,TOTAL,109766,95119,14647
KASUR,KASUR,DISTRICT,KACHA,25679,21645,4034
KASUR,KASUR,DISTRICT,PAKKA,540354,360788,179566
KASUR,KASUR,DISTRICT,SEMI PAKKA,79275,60611,18664
KASUR,KASUR,DISTRICT,TOTAL,645308,443044,202264
KASUR,KASUR,TEHSIL,KACHA,8834,6676,2158
KASUR,KASUR,TEHSIL,PAKKA,212409,110888,101521
KASUR,KASUR,TEHSIL,SEMI PAKKA,32203,20541,11662
KASUR,KASUR,TEHSIL,TOTAL,253446,138105,115341
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,KACHA,3899,3703,196
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,PAKKA,35366,28031,7335
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,SEMI PAKKA,9180,8748,432
KHAIRPUR TAMEWALI,BAHAWALPUR,TEHSIL,TOTAL,48445,40482,7963
KHANEWAL,KHANEWAL,DISTRICT,KACHA,47228,44160,3068
KHANEWAL,KHANEWAL,DISTRICT,PAKKA,420871,314344,106527
KHANEWAL,KHANEWAL,DISTRICT,SEMI PAKKA,58097,51815,6282
KHANEWAL,KHANEWAL,DISTRICT,TOTAL,526196,410319,115877
KHANEWAL,KHANEWAL,TEHSIL,KACHA,10112,8619,1493
KHANEWAL,KHANEWAL,TEHSIL,PAKKA,128894,83105,45789
KHANEWAL,KHANEWAL,TEHSIL,SEMI PAKKA,13096,10014,3082
KHANEWAL,KHANEWAL,TEHSIL,TOTAL,152102,101738,50364
KHANPUR,RAHIM YAR KHAN,TEHSIL,KACHA,17045,15302,1743
KHANPUR,RAHIM YAR KHAN,TEHSIL,PAKKA,118551,76438,42113
KHANPUR,RAHIM YAR KHAN,TEHSIL,SEMI PAKKA,35232,31193,4039
KHANPUR,RAHIM YAR KHAN,TEHSIL,TOTAL,170828,122933,47895
KHARIAN,GUJRAT,TEHSIL,KACHA,3445,2517,928
KHARIAN,GUJRAT,TEHSIL,PAKKA,155744,112654,43090
KHARIAN,GUJRAT,TEHSIL,SEMI PAKKA,20068,16811,3257
KHARIAN,GUJRAT,TEHSIL,TOTAL,179257,131982,47275
KHUSHAB,KHUSHAB,DISTRICT,KACHA,16790,13809,2981
KHUSHAB,KHUSHAB,DISTRICT,PAKKA,176020,126122,49898
KHUSHAB,KHUSHAB,DISTRICT,SEMI PAKKA,55494,40652,14842
KHUSHAB,KHUSHAB,DISTRICT,TOTAL,248304,180583,67721
KHUSHAB,KHUSHAB,TEHSIL,KACHA,8290,5911,2379
KHUSHAB,KHUSHAB,TEHSIL,PAKKA,92988,50899,42089
KHUSHAB,KHUSHAB,TEHSIL,SEMI PAKKA,31110,18010,13100
KHUSHAB,KHUSHAB,TEHSIL,TOTAL,132388,74820,57568
KOH-E-SULEMAN,DERA GHAZI KHAN,TEHSIL,KACHA,26470,26470,
KOH-E-SULEMAN,DERA GHAZI KHAN,TEHSIL,PAKKA,6324,6324,
KOH-E-SULEMAN,DERA GHAZI KHAN,TEHSIL,SEMI PAKKA,8344,8344,
KOH-E-SULEMAN,DERA GHAZI KHAN,TEHSIL,TOTAL,41138,41138,
KOT ADDU,MUZAFFARGARH,TEHSIL,KACHA,32332,30393,1939
KOT ADDU,MUZAFFARGARH,TEHSIL,PAKKA,126649,94803,31846
KOT ADDU,MUZAFFARGARH,TEHSIL,SEMI PAKKA,26361,21640,4721
KOT ADDU,MUZAFFARGARH,TEHSIL,TOTAL,185342,146836,38506
KOT CHHUTTA,DERA GHAZI KHAN,TEHSIL,KACHA,40474,38140,2334
KOT CHHUTTA,DERA GHAZI KHAN,TEHSIL,PAKKA,57508,45873,11635
KOT CHHUTTA,DERA GHAZI KHAN,TEHSIL,SEMI PAKKA,16974,15640,1334
KOT CHHUTTA,DERA GHAZI KHAN,TEHSIL,TOTAL,114956,99653,15303
KOT MOMIN,SARGODHA,TEHSIL,KACHA,6977,6499,478
KOT MOMIN,SARGODHA,TEHSIL,PAKKA,48807,42210,6597
KOT MOMIN,SARGODHA,TEHSIL,SEMI PAKKA,23672,21185,2487
KOT MOMIN,SARGODHA,TEHSIL,TOTAL,79456,69894,9562
KOT RADHA KISHAN,KASUR,TEHSIL,KACHA,2308,1947,361
KOT RADHA KISHAN,KASUR,TEHSIL,PAKKA,51984,38009,13975
KOT RADHA KISHAN,KASUR,TEHSIL,SEMI PAKKA,6762,5628,1134
KOT RADHA KISHAN,KASUR,TEHSIL,TOTAL,61054,45584,15470
KOTLI SATTIAN,RAWALPINDI,TEHSIL,KACHA,2615,2228,387
KOTLI SATTIAN,RAWALPINDI,TEHSIL,PAKKA,15213,11659,3554
KOTLI SATTIAN,RAWALPINDI,TEHSIL,SEMI PAKKA,3079,2750,329
KOTLI SATTIAN,RAWALPINDI,TEHSIL,TOTAL,20907,16637,4270
LAHORE,LAHORE,DISTRICT,KACHA,39037,,39037
LAHORE,LAHORE,DISTRICT,PAKKA,1935611,,1935611
LAHORE,LAHORE,DISTRICT,SEMI PAKKA,35577,,35577
LAHORE,LAHORE,DISTRICT,TOTAL,2010225,,2010225
LAHORE CANTT,LAHORE,TEHSIL,KACHA,6019,,6019
LAHORE CANTT,LAHORE,TEHSIL,PAKKA,286365,,286365
LAHORE CANTT,LAHORE,TEHSIL,SEMI PAKKA,4141,,4141
LAHORE CANTT,LAHORE,TEHSIL,TOTAL,296525,,296525
LAHORE CITY,LAHORE,TEHSIL,KACHA,12652,,12652
LAHORE CITY,LAHORE,TEHSIL,PAKKA,606547,,606547
LAHORE CITY,LAHORE,TEHSIL,SEMI PAKKA,9398,,9398
LAHORE CITY,LAHORE,TEHSIL,TOTAL,628597,,628597
LALIAN,CHINIOT,TEHSIL,KACHA,9820,9096,724
LALIAN,CHINIOT,TEHSIL,PAKKA,57921,38415,19506
LALIAN,CHINIOT,TEHSIL,SEMI PAKKA,15388,11272,4116
LALIAN,CHINIOT,TEHSIL,TOTAL,83129,58783,24346
LAWA,CHAKWAL,TEHSIL,KACHA,1681,1571,110
LAWA,CHAKWAL,TEHSIL,PAKKA,17605,15064,2541
LAWA,CHAKWAL,TEHSIL,SEMI PAKKA,2915,2480,435
LAWA,CHAKWAL,TEHSIL,TOTAL,22201,19115,3086
LAYYAH,LAYYAH,DISTRICT,KACHA,34068,31655,2413
LAYYAH,LAYYAH,DISTRICT,PAKKA,267120,208926,58194
LAYYAH,LAYYAH,DISTRICT,SEMI PAKKA,39943,36745,3198
LAYYAH,LAYYAH,DISTRICT,TOTAL,341131,277326,63805
LAYYAH,LAYYAH,TEHSIL,KACHA,18913,17799,1114
LAYYAH,LAYYAH,TEHSIL,PAKKA,147410,109879,37531
LAYYAH,LAYYAH,TEHSIL,SEMI PAKKA,21010,19129,1881
LAYYAH,LAYYAH,TEHSIL,TOTAL,187333,146807,40526
LIAQUAT PUR,RAHIM YAR KHAN,TEHSIL,KACHA,18652,18080,572
LIAQUAT PUR,RAHIM YAR KHAN,TEHSIL,PAKKA,106796,92873,13923
LIAQUAT PUR,RAHIM YAR KHAN,TEHSIL,SEMI PAKKA,52383,51282,1101
LIAQUAT PUR,RAHIM YAR KHAN,TEHSIL,TOTAL,177831,162235,15596
LODHRAN,LODHRAN,DISTRICT,KACHA,27002,25281,1721
LODHRAN,LODHRAN,DISTRICT,PAKKA,246571,195329,51242
LODHRAN,LODHRAN,DISTRICT,SEMI PAKKA,50293,46443,3850
LODHRAN,LODHRAN,DISTRICT,TOTAL,323866,267053,56813
LODHRAN,LODHRAN,TEHSIL,KACHA,9548,9163,385
LODHRAN,LODHRAN,TEHSIL,PAKKA,97831,75097,22734
LODHRAN,LODHRAN,TEHSIL,SEMI PAKKA,20655,19902,753
LODHRAN,LODHRAN,TEHSIL,TOTAL,128034,104162,23872
MAILSI,VEHARI,TEHSIL,KACHA,12085,10559,1526
MAILSI,VEHARI,TEHSIL,PAKKA,142659,112374,30285
MAILSI,VEHARI,TEHSIL,SEMI PAKKA,23253,21333,1920
MAILSI,VEHARI,TEHSIL,TOTAL,177997,144266,33731
MALAKWAL,MANDI BAHAUDDIN,TEHSIL,KACHA,3124,2687,437
MALAKWAL,MANDI BAHAUDDIN,TEHSIL,PAKKA,50431,43076,7355
MALAKWAL,MANDI BAHAUDDIN,TEHSIL,SEMI PAKKA,15297,14333,964
MALAKWAL,MANDI BAHAUDDIN,TEHSIL,TOTAL,68852,60096,8756
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,KACHA,9629,8124,1505
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,PAKKA,225613,175647,49966
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,SEMI PAKKA,50747,46801,3946
MANDI BAHAUDDIN,MANDI BAHAUDDIN,DISTRICT,TOTAL,285989,230572,55417
MANDI BAHAUDDIN,MANDI BAHAUDDIN,TEHSIL,KACHA,3504,2564,940
MANDI BAHAUDDIN,MANDI BAHAUDDIN,TEHSIL,PAKKA,98797,65360,33437
MANDI BAHAUDDIN,MANDI BAHAUDDIN,TEHSIL,SEMI PAKKA,15479,13053,2426
MANDI BAHAUDDIN,MANDI BAHAUDDIN,TEHSIL,TOTAL,117780,80977,36803
MANKERA,BHAKKAR,TEHSIL,KACHA,8223,7360,863
MANKERA,BHAKKAR,TEHSIL,PAKKA,37051,31223,5828
MANKERA,BHAKKAR,TEHSIL,SEMI PAKKA,7726,6775,951
MANKERA,BHAKKAR,TEHSIL,TOTAL,53000,45358,7642
MIAN CHANNU,KHANEWAL,TEHSIL,KACHA,7374,6960,414
MIAN CHANNU,KHANEWAL,TEHSIL,PAKKA,127634,98952,28682
MIAN CHANNU,KHANEWAL,TEHSIL,SEMI PAKKA,10523,9583,940
MIAN CHANNU,KHANEWAL,TEHSIL,TOTAL,145531,115495,30036
MIANWALI,MIANWALI,DISTRICT,KACHA,30108,27115,2993
MIANWALI,MIANWALI,DISTRICT,PAKKA,214514,162151,52363
MIANWALI,MIANWALI,DISTRICT,SEMI PAKKA,51717,42927,8790
MIANWALI,MIANWALI,DISTRICT,TOTAL,296339,232193,64146
MIANWALI,MIANWALI,TEHSIL,KACHA,12144,11337,807
MIANWALI,MIANWALI,TEHSIL,PAKKA,115426,89005,26421
MIANWALI,MIANWALI,TEHSIL,SEMI PAKKA,26624,23450,3174
MIANWALI,MIANWALI,TEHSIL,TOTAL,154194,123792,30402
MINCHINABAD,BAHAWALNAGAR,TEHSIL,KACHA,18084,16986,1098
MINCHINABAD,BAHAWALNAGAR,TEHSIL,PAKKA,58955,43939,15016
MINCHINABAD,BAHAWALNAGAR,TEHSIL,SEMI PAKKA,20484,17560,2924
MINCHINABAD,BAHAWALNAGAR,TEHSIL,TOTAL,97523,78485,19038
MODEL TOWN,LAHORE,TEHSIL,KACHA,10506,,10506
MODEL TOWN,LAHORE,TEHSIL,PAKKA,473707,,473707
MODEL TOWN,LAHORE,TEHSIL,SEMI PAKKA,8131,,8131
MODEL TOWN,LAHORE,TEHSIL,TOTAL,492344,,492344
MULTAN,MULTAN,DISTRICT,KACHA,82000,69271,12729
MULTAN,MULTAN,DISTRICT,PAKKA,686034,319304,366730
MULTAN,MULTAN,DISTRICT,SEMI PAKKA,118358,88173,30185
MULTAN,MULTAN,DISTRICT,TOTAL,886392,476748,409644
MULTAN CITY,MULTAN,TEHSIL,KACHA,10682,3301,7381
MULTAN CITY,MULTAN,TEHSIL,PAKKA,376732,55149,321583
MULTAN CITY,MULTAN,TEHSIL,SEMI PAKKA,29377,5276,24101
MULTAN CITY,MULTAN,TEHSIL,TOTAL,416791,63726,353065
MULTAN SADDAR,MULTAN,TEHSIL,KACHA,30925,30366,559
MULTAN SADDAR,MULTAN,TEHSIL,PAKKA,180801,167483,13318
MULTAN SADDAR,MULTAN,TEHSIL,SEMI PAKKA,38347,37167,1180
MULTAN SADDAR,MULTAN,TEHSIL,TOTAL,250073,235016,15057
MURIDKE,SHEIKHUPURA,TEHSIL,KACHA,2031,1606,425
MURIDKE,SHEIKHUPURA,TEHSIL,PAKKA,83047,40509,42538
MURIDKE,SHEIKHUPURA,TEHSIL,SEMI PAKKA,16955,13153,3802
MURIDKE,SHEIKHUPURA,TEHSIL,TOTAL,102033,55268,46765
MURREE,RAWALPINDI,TEHSIL,KACHA,1899,1849,50
MURREE,RAWALPINDI,TEHSIL,PAKKA,39887,35951,3936
MURREE,RAWALPINDI,TEHSIL,SEMI PAKKA,3494,3398,96
MURREE,RAWALPINDI,TEHSIL,TOTAL,45280,41198,4082
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,KACHA,158107,146867,11240
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,PAKKA,488335,369160,119175
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,SEMI PAKKA,157996,136586,21410
MUZAFFARGARH,MUZAFFARGARH,DISTRICT,TOTAL,804438,652613,151825
MUZAFFARGARH,MUZAFFARGARH,TEHSIL,KACHA,64642,62870,1772
MUZAFFARGARH,MUZAFFARGARH,TEHSIL,PAKKA,186186,149934,36252
MUZAFFARGARH,MUZAFFARGARH,TEHSIL,SEMI PAKKA,54351,51747,2604
MUZAFFARGARH,MUZAFFARGARH,TEHSIL,TOTAL,305179,264551,40628
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,KACHA,16618,15416,1202
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,PAKKA,185031,142592,42439
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,SEMI PAKKA,45307,38161,7146
NANKANA SAHIB,NANKANA SAHIB,DISTRICT,TOTAL,246956,196169,50787
NANKANA SAHIB,NANKANA SAHIB,TEHSIL,KACHA,13654,13426,228
NANKANA SAHIB,NANKANA SAHIB,TEHSIL,PAKKA,117325,100168,17157
NANKANA SAHIB,NANKANA SAHIB,TEHSIL,SEMI PAKKA,29440,26314,3126
NANKANA SAHIB,NANKANA SAHIB,TEHSIL,TOTAL,160419,139908,20511
NAROWAL,NAROWAL,DISTRICT,KACHA,9787,9165,622
NAROWAL,NAROWAL,DISTRICT,PAKKA,233108,182177,50931
NAROWAL,NAROWAL,DISTRICT,SEMI PAKKA,38641,35888,2753
NAROWAL,NAROWAL,DISTRICT,TOTAL,281536,227230,54306
NAROWAL,NAROWAL,TEHSIL,KACHA,2780,2484,296
NAROWAL,NAROWAL,TEHSIL,PAKKA,83222,58663,24559
NAROWAL,NAROWAL,TEHSIL,SEMI PAKKA,14369,12709,1660
NAROWAL,NAROWAL,TEHSIL,TOTAL,100371,73856,26515
NOOR PUR,KHUSHAB,TEHSIL,KACHA,3034,2949,85
NOOR PUR,KHUSHAB,TEHSIL,PAKKA,42590,39502,3088
