name_admin_unit,part_of_district,admin_unit,region,households,toilet_separate,toilet_flush,toilet_non_flush,toilet_none,washroom_separate,washroom_none
AWARAN,AWARAN,DISTRICT,OVERALL,27796,20910,14432,7553,5811,25205,1472
AWARAN,AWARAN,DISTRICT,RURAL,21364,14937,9765,6170,5429,19131,1303
AWARAN,AWARAN,DISTRICT,URBAN,6432,5973,4667,1383,382,6074,169
AWARAN,AWARAN,SUB-DIVISION,OVERALL,6471,4792,3615,1250,1606,6026,252
AWARAN,AWARAN,SUB-DIVISION,RURAL,2486,1123,952,180,1354,2262,208
AWARAN,AWARAN,SUB-DIVISION,URBAN,3985,3669,2663,1070,252,3764,44
GISHKORE,AWARAN,TEHSIL,OVERALL,6191,4799,2706,2096,1389,5650,507
GISHKORE,AWARAN,TEHSIL,RURAL,6191,4799,2706,2096,1389,5650,507
GISHKORE,AWARAN,TEHSIL,URBAN,,,,,,,
JHAL JAO,AWARAN,TEHSIL,OVERALL,3990,2889,1809,1591,590,3422,100
JHAL JAO,AWARAN,TEHSIL,RURAL,3990,2889,1809,1591,590,3422,100
JHAL JAO,AWARAN,TEHSIL,URBAN,,,,,,,
KORAK JHAO,AWARAN,TEHSIL,OVERALL,4256,2603,1203,1408,1645,4148,83
KORAK JHAO,AWARAN,TEHSIL,RURAL,4256,2603,1203,1408,1645,4148,83
KORAK JHAO,AWARAN,TEHSIL,URBAN,,,,,,,
MASHKAI,AWARAN,TEHSIL,OVERALL,6888,5827,5099,1208,581,5959,530
MASHKAI,AWARAN,TEHSIL,RURAL,4441,3523,3095,895,451,3649,405
MASHKAI,AWARAN,TEHSIL,URBAN,2447,2304,2004,313,130,2310,125
BARKHAN,BARKHAN,DISTRICT,OVERALL,23053,5340,6572,3771,12710,8576,7549
BARKHAN,BARKHAN,DISTRICT,RURAL,21582,4362,5370,3511,12701,7543,7535
BARKHAN,BARKHAN,DISTRICT,URBAN,1471,978,1202,260,9,1033,14
BARKHAN,BARKHAN,TEHSIL,OVERALL,23053,5340,6572,3771,12710,8576,7549
BARKHAN,BARKHAN,TEHSIL,RURAL,21582,4362,5370,3511,12701,7543,7535
BARKHAN,BARKHAN,TEHSIL,URBAN,1471,978,1202,260,9,1033,14
CHAGAI,CHAGAI,DISTRICT,OVERALL,38213,23093,25211,3549,9453,29000,3374
CHAGAI,CHAGAI,DISTRICT,RURAL,35640,21099,23090,3122,9428,26914,3344
CHAGAI,CHAGAI,DISTRICT,URBAN,2573,1994,2121,427,25,2086,30
CHAGAI,CHAGAI,TEHSIL,OVERALL,11064,6234,7114,1581,2369,8204,542
CHAGAI,CHAGAI,TEHSIL,RURAL,11064,6234,7114,1581,2369,8204,542
CHAGAI,CHAGAI,TEHSIL,URBAN,,,,,,,
DALBANDIN,CHAGAI,SUB-DIVISION,OVERALL,17642,10833,11616,1455,4571,13084,2228
DALBANDIN,CHAGAI,SUB-DIVISION,RURAL,15069,8839,9495,1028,4546,10998,2198
DALBANDIN,CHAGAI,SUB-DIVISION,URBAN,2573,1994,2121,427,25,2086,30
NOKUNDI,CHAGAI,TEHSIL,OVERALL,3141,2085,2598,61,482,2483,61
NOKUNDI,CHAGAI,TEHSIL,RURAL,3141,2085,2598,61,482,2483,61
NOKUNDI,CHAGAI,TEHSIL,URBAN,,,,,,,
TAFTAN,CHAGAI,SUB-DIVISION,OVERALL,2694,2481,2470,215,9,2473,13
TAFTAN,CHAGAI,SUB-DIVISION,RURAL,2694,2481,2470,215,9,2473,13
TAFTAN,CHAGAI,SUB-DIVISION,URBAN,,,,,,,
YAK MACHH,CHAGAI,SUB-TEHSIL,OVERALL,3672,1460,1413,237,2022,2756,530
YAK MACHH,CHAGAI,SUB-TEHSIL,RURAL,3672,1460,1413,237,2022,2756,530
YAK MACHH,CHAGAI,SUB-TEHSIL,URBAN,,,,,,,
CHAMAN,CHAMAN,DISTRICT,OVERALL,61915,38314,39700,19460,2755,44643,1935
CHAMAN,CHAMAN,DISTRICT,RURAL,42810,25576,27457,13148,2205,30419,1388
CHAMAN,CHAMAN,DISTRICT,URBAN,19105,12738,12243,6312,550,14224,547
CHAMAN CITY,CHAMAN,SUB-DIVISION,OVERALL,19105,12738,12243,6312,550,14224,547
CHAMAN CITY,CHAMAN,SUB-DIVISION,RURAL,,,,,,,
CHAMAN CITY,CHAMAN,SUB-DIVISION,URBAN,19105,12738,12243,6312,550,14224,547
CHAMAN SADDAR,CHAMAN,SUB-DIVISION,OVERALL,42810,25576,27457,13148,2205,30419,1388
CHAMAN SADDAR,CHAMAN,SUB-DIVISION,RURAL,42810,25576,27457,13148,2205,30419,1388
CHAMAN SADDAR,CHAMAN,SUB-DIVISION,URBAN,,,,,,,
DERA BUGTI,DERA BUGTI,DISTRICT,OVERALL,62267,13726,21769,4554,35944,16518,32207
DERA BUGTI,DERA BUGTI,DISTRICT,RURAL,42439,4590,4042,3792,34605,8023,29518
DERA BUGTI,DERA BUGTI,DISTRICT,URBAN,19828,9136,17727,762,1339,8495,2689
BAIKER,DERA BUGTI,SUB-TEHSIL,OVERALL,4831,244,121,402,4308,653,3665
BAIKER,DERA BUGTI,SUB-TEHSIL,RURAL,4831,244,121,402,4308,653,3665
BAIKER,DERA BUGTI,SUB-TEHSIL,URBAN,,,,,,,
DERA BUGTI,DERA BUGTI,SUB-DIVISION,OVERALL,9607,3504,4558,1075,3974,3510,4082
DERA BUGTI,DERA BUGTI,SUB-DIVISION,RURAL,4178,680,328,679,3171,1239,2582
DERA BUGTI,DERA BUGTI,SUB-DIVISION,URBAN,5429,2824,4230,396,803,2271,1500
LOTI,DERA BUGTI,SUB-TEHSIL,OVERALL,4565,359,94,370,4101,403,4042
LOTI,DERA BUGTI,SUB-TEHSIL,RURAL,4565,359,94,370,4101,403,4042
LOTI,DERA BUGTI,SUB-TEHSIL,URBAN,,,,,,,
MALAM,DERA BUGTI,SUB-TEHSIL,OVERALL,4435,1027,679,404,3352,1578,2452
MALAM,DERA BUGTI,SUB-TEHSIL,RURAL,4435,1027,679,404,3352,1578,2452
MALAM,DERA BUGTI,SUB-TEHSIL,URBAN,,,,,,,
PIR KOH,DERA BUGTI,SUB-TEHSIL,OVERALL,8519,811,1127,375,7017,1728,5630
PIR KOH,DERA BUGTI,SUB-TEHSIL,RURAL,8519,811,1127,375,7017,1728,5630
PIR KOH,DERA BUGTI,SUB-TEHSIL,URBAN,,,,,,,
QADIRABAD,DERA BUGTI,SUB-DIVISION,OVERALL,3848,424,378,146,3324,1327,2244
QADIRABAD,DERA BUGTI,SUB-DIVISION,RURAL,3848,424,378,146,3324,1327,2244
QADIRABAD,DERA BUGTI,SUB-DIVISION,URBAN,,,,,,,
SANGSILLAH,DERA BUGTI,SUB-TEHSIL,OVERALL,2494,315,467,820,1207,329,1065
SANGSILLAH,DERA BUGTI,SUB-TEHSIL,RURAL,2494,315,467,820,1207,329,1065
SANGSILLAH,DERA BUGTI,SUB-TEHSIL,URBAN,,,,,,,
SUI,DERA BUGTI,SUB-DIVISION,OVERALL,23968,7042,14345,962,8661,6990,9027
SUI,DERA BUGTI,SUB-DIVISION,RURAL,9569,730,848,596,8125,766,7838
SUI,DERA BUGTI,SUB-DIVISION,URBAN,14399,6312,13497,366,536,6224,1189
DUKI,DUKI,DISTRICT,OVERALL,43059,18881,19306,11742,12011,25958,3803
DUKI,DUKI,DISTRICT,RURAL,40066,17167,17550,10516,12000,23998,3774
DUKI,DUKI,DISTRICT,URBAN,2993,1714,1756,1226,11,1960,29
DUKI,DUKI,SUB-DIVISION,OVERALL,26606,13444,12644,8682,5280,16807,1819
DUKI,DUKI,SUB-DIVISION,RURAL,23613,11730,10888,7456,5269,14847,1790
DUKI,DUKI,SUB-DIVISION,URBAN,2993,1714,1756,1226,11,1960,29
LUNI,DUKI,SUB-DIVISION,OVERALL,2907,1126,851,841,1215,1783,322
LUNI,DUKI,SUB-DIVISION,RURAL,2907,1126,851,841,1215,1783,322
LUNI,DUKI,SUB-DIVISION,URBAN,,,,,,,
TALAO,DUKI,SUB-TEHSIL,OVERALL,5256,1807,1411,863,2982,3466,717
TALAO,DUKI,SUB-TEHSIL,RURAL,5256,1807,1411,863,2982,3466,717
TALAO,DUKI,SUB-TEHSIL,URBAN,,,,,,,
THAL CHUTYALI,DUKI,SUB-DIVISION,OVERALL,8290,2504,4400,1356,2534,3902,945
THAL CHUTYALI,DUKI,SUB-DIVISION,RURAL,8290,2504,4400,1356,2534,3902,945
THAL CHUTYALI,DUKI,SUB-DIVISION,URBAN,,,,,,,
GWADAR,GWADAR,DISTRICT,OVERALL,50357,29969,39518,4704,6135,36324,887
GWADAR,GWADAR,DISTRICT,RURAL,22539,12856,14538,2512,5489,17507,777
GWADAR,GWADAR,DISTRICT,URBAN,27818,17113,24980,2192,646,18817,110
GWADAR,GWADAR,SUB-DIVISION,OVERALL,24533,16746,21861,2199,473,17970,145
GWADAR,GWADAR,SUB-DIVISION,RURAL,10503,7162,9698,463,342,7859,96
GWADAR,GWADAR,SUB-DIVISION,URBAN,14030,9584,12163,1736,131,10111,49
JIWANI,GWADAR,TEHSIL,OVERALL,4420,3283,3986,408,26,3265,16
JIWANI,GWADAR,TEHSIL,RURAL,1586,946,1366,213,7,956,3
JIWANI,GWADAR,TEHSIL,URBAN,2834,2337,2620,195,19,2309,13
ORMARA,GWADAR,TEHSIL,OVERALL,5415,2364,3555,278,1582,3638,513
ORMARA,GWADAR,TEHSIL,RURAL,1789,353,189,176,1424,1233,504
ORMARA,GWADAR,TEHSIL,URBAN,3626,2011,3366,102,158,2405,9
PASNI,GWADAR,SUB-DIVISION,OVERALL,13708,5639,8981,816,3911,9359,193
PASNI,GWADAR,SUB-DIVISION,RURAL,6380,2458,2150,657,3573,5367,154
PASNI,GWADAR,SUB-DIVISION,URBAN,7328,3181,6831,159,338,3992,39
SUNTSER,GWADAR,SUB-TEHSIL,OVERALL,2281,1937,1135,1003,143,2092,20
SUNTSER,GWADAR,SUB-TEHSIL,RURAL,2281,1937,1135,1003,143,2092,20
SUNTSER,GWADAR,SUB-TEHSIL,URBAN,,,,,,,
HARNAI,HARNAI,DISTRICT,OVERALL,16393,5649,7059,1663,7671,8126,4386
HARNAI,HARNAI,DISTRICT,RURAL,11891,3188,3330,1311,7250,5260,4269
HARNAI,HARNAI,DISTRICT,URBAN,4502,2461,3729,352,421,2866,117
HARNAI,HARNAI,SUB-DIVISION,OVERALL,10170,3066,4327,1113,4730,3699,3574
HARNAI,HARNAI,SUB-DIVISION,RURAL,8051,2057,2366,971,4714,2704,3550
HARNAI,HARNAI,SUB-DIVISION,URBAN,2119,1009,1961,142,16,995,24
KHOAST,HARNAI,SUB-DIVISION,OVERALL,2212,704,640,124,1448,1558,226
KHOAST,HARNAI,SUB-DIVISION,RURAL,2212,704,640,124,1448,1558,226
KHOAST,HARNAI,SUB-DIVISION,URBAN,,,,,,,
SHAHRIG,HARNAI,TEHSIL,OVERALL,4011,1879,2092,426,1493,2869,586
SHAHRIG,HARNAI,TEHSIL,RURAL,1628,427,324,216,1088,998,493
SHAHRIG,HARNAI,TEHSIL,URBAN,2383,1452,1768,210,405,1871,93
JAFFARABAD,JAFFARABAD,DISTRICT,OVERALL,81562,31694,38632,15203,27727,26620,35689
JAFFARABAD,JAFFARABAD,DISTRICT,RURAL,62763,21652,23196,13084,26483,17525,33044
JAFFARABAD,JAFFARABAD,DISTRICT,URBAN,18799,10042,15436,2119,1244,9095,2645
GANDAKHA,JAFFARABAD,TEHSIL,OVERALL,14259,5189,4072,3002,7185,4724,7942
GANDAKHA,JAFFARABAD,TEHSIL,RURAL,14259,5189,4072,3002,7185,4724,7942
GANDAKHA,JAFFARABAD,TEHSIL,URBAN,,,,,,,
JHAT PAT,JAFFARABAD,SUB-DIVISION,OVERALL,37693,15567,20097,7195,10401,13455,13449
JHAT PAT,JAFFARABAD,SUB-DIVISION,RURAL,26891,9909,11762,5433,9696,8520,11800
JHAT PAT,JAFFARABAD,SUB-DIVISION,URBAN,10802,5658,8335,1762,705,4935,1649
USTA MUHAMMAD,JAFFARABAD,SUB-DIVISION,OVERALL,29610,10938,14463,5006,10141,8441,14298
USTA MUHAMMAD,JAFFARABAD,SUB-DIVISION,RURAL,21613,6554,7362,4649,9602,4281,13302
USTA MUHAMMAD,JAFFARABAD,SUB-DIVISION,URBAN,7997,4384,7101,357,539,4160,996
JHAL MAGSI,JHAL MAGSI,DISTRICT,OVERALL,30953,14463,10712,8562,11679,11908,15044
JHAL MAGSI,JHAL MAGSI,DISTRICT,RURAL,27257,12267,8306,7645,11306,9754,14562
JHAL MAGSI,JHAL MAGSI,DISTRICT,URBAN,3696,2196,2406,917,373,2154,482
GANDAWA,JHAL MAGSI,TEHSIL,OVERALL,11109,5320,5157,2663,3289,4442,4514
GANDAWA,JHAL MAGSI,TEHSIL,RURAL,7413,3124,2751,1746,2916,2288,4032
GANDAWA,JHAL MAGSI,TEHSIL,URBAN,3696,2196,2406,917,373,2154,482
JHAL MAGSI,JHAL MAGSI,TEHSIL,OVERALL,17155,8169,5120,5079,6956,6683,8878
JHAL MAGSI,JHAL MAGSI,TEHSIL,RURAL,17155,8169,5120,5079,6956,6683,8878
JHAL MAGSI,JHAL MAGSI,TEHSIL,URBAN,,,,,,,
MIRPUR,JHAL MAGSI,SUB-TEHSIL,OVERALL,2689,974,435,820,1434,783,1652
MIRPUR,JHAL MAGSI,SUB-TEHSIL,RURAL,2689,974,435,820,1434,783,1652
MIRPUR,JHAL MAGSI,SUB-TEHSIL,URBAN,,,,,,,
KACHHI,KACHHI,DISTRICT,OVERALL,50032,23840,24724,18290,7018,24277,6871
KACHHI,KACHHI,DISTRICT,RURAL,41450,18953,17795,16690,6965,19542,6642
KACHHI,KACHHI,DISTRICT,URBAN,8582,4887,6929,1600,53,4735,229
BALANARI,KACHHI,SUB-TEHSIL,OVERALL,6523,4608,4834,1481,208,4617,261
BALANARI,KACHHI,SUB-TEHSIL,RURAL,6523,4608,4834,1481,208,4617,261
BALANARI,KACHHI,SUB-TEHSIL,URBAN,,,,,,,
BHAG,KACHHI,SUB-DIVISION,OVERALL,16312,7098,5235,8025,3052,7142,3268
BHAG,KACHHI,SUB-DIVISION,RURAL,12865,5679,2984,6859,3022,5734,3225
BHAG,KACHHI,SUB-DIVISION,URBAN,3447,1419,2251,1166,30,1408,43
DHADAR,KACHHI,SUB-DIVISION,OVERALL,7176,3599,5095,1370,711,3367,986
DHADAR,KACHHI,SUB-DIVISION,RURAL,4361,2076,2611,1052,698,1994,809
DHADAR,KACHHI,SUB-DIVISION,URBAN,2815,1523,2484,318,13,1373,177
KHATTAN,KACHHI,SUB-TEHSIL,OVERALL,2723,981,541,1578,604,1095,435
KHATTAN,KACHHI,SUB-TEHSIL,RURAL,2723,981,541,1578,604,1095,435
KHATTAN,KACHHI,SUB-TEHSIL,URBAN,,,,,,,
MACH,KACHHI,SUB-DIVISION,OVERALL,5699,3379,4811,253,635,3796,421
MACH,KACHHI,SUB-DIVISION,RURAL,3379,1434,2617,137,625,1842,412
MACH,KACHHI,SUB-DIVISION,URBAN,2320,1945,2194,116,10,1954,9
SANNI,KACHHI,SUB-DIVISION,OVERALL,11599,4175,4208,5583,1808,4260,1500
SANNI,KACHHI,SUB-DIVISION,RURAL,11599,4175,4208,5583,1808,4260,1500
SANNI,KACHHI,SUB-DIVISION,URBAN,,,,,,,
KALAT,KALAT,DISTRICT,OVERALL,33101,16917,13712,10993,8396,20008,5554
KALAT,KALAT,DISTRICT,RURAL,27903,12945,8851,10695,8357,15936,5510
KALAT,KALAT,DISTRICT,URBAN,5198,3972,4861,298,39,4072,44
GAZG,KALAT,SUB-TEHSIL,OVERALL,1274,550,182,425,667,670,528
GAZG,KALAT,SUB-TEHSIL,RURAL,1274,550,182,425,667,670,528
GAZG,KALAT,SUB-TEHSIL,URBAN,,,,,,,
JOHAN,KALAT,SUB-TEHSIL,OVERALL,2486,1253,408,1051,1027,1535,758
JOHAN,KALAT,SUB-TEHSIL,RURAL,2486,1253,408,1051,1027,1535,758
JOHAN,KALAT,SUB-TEHSIL,URBAN,,,,,,,
KALAT,KALAT,SUB-DIVISION,OVERALL,20124,10262,9575,5112,5437,12248,3368
KALAT,KALAT,SUB-DIVISION,RURAL,14926,6290,4714,4814,5398,8176,3324
KALAT,KALAT,SUB-DIVISION,URBAN,5198,3972,4861,298,39,4072,44
MANGOCHAR,KALAT,SUB-DIVISION,OVERALL,9217,4852,3547,4405,1265,5555,900
MANGOCHAR,KALAT,SUB-DIVISION,RURAL,9217,4852,3547,4405,1265,5555,900
MANGOCHAR,KALAT,SUB-DIVISION,URBAN,,,,,,,
KECH,KECH,DISTRICT,OVERALL,253475,127898,142587,64806,46082,145814,19307
KECH,KECH,DISTRICT,RURAL,164440,79122,81489,44622,38329,92207,16914
KECH,KECH,DISTRICT,URBAN,89035,48776,61098,20184,7753,53607,2393
BALNIGORE,KECH,SUB-TEHSIL,OVERALL,14389,10493,8996,4618,775,12195,340
BALNIGORE,KECH,SUB-TEHSIL,RURAL,14389,10493,8996,4618,775,12195,340
BALNIGORE,KECH,SUB-TEHSIL,URBAN,,,,,,,
BULAIDA,KECH,SUB-DIVISION,OVERALL,24326,9736,12947,6446,4933,12149,2771
BULAIDA,KECH,SUB-DIVISION,RURAL,9038,1635,2460,2490,4088,2985,2048
BULAIDA,KECH,SUB-DIVISION,URBAN,15288,8101,10487,3956,845,9164,723
